# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:gr.fac. D             16:gr.fac. f          
       1.000000000000e+14       7.558503632233e-26       4.634785000235e-09       2.157545946646e+22       1.456774940808e+04       1.456774940808e-10       1.456774940808e+18       2.675958164818e-09       2.751560535470e+44       2.451390603497e+33       1.230768986004e+34       3.601553394783e-08       1.903443976270e+44       4.655004511888e+44       6.023872421471e-20       2.000000000000e+14 
       9.930486593843e+13       7.664693049762e-26       4.667526809499e-09       2.127654528180e+22       1.456774940808e+04       1.466972365394e-10       1.446648401994e+18       2.694689871971e-09       2.675846458098e+44       2.400623788821e+33       1.205280505738e+34       3.601553394783e-08       1.851067333040e+44       4.526913791283e+44       8.404041441943e-08       1.433565615564e+02 
       9.861456399050e+13       7.772374322418e-26       4.700268618762e-09       2.098177236189e+22       1.456774940808e+04       1.477241171951e-10       1.436592256201e+18       2.713552701075e-09       2.602215788102e+44       2.350908324129e+33       1.180319876461e+34       3.601553394783e-08       1.800131926217e+44       4.402347714460e+44       1.680808288388e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409274e-26       4.733010428026e-09       2.069108333216e+22       1.456774940808e+04       1.487581860155e-10       1.426606014102e+18       2.732547569983e-09       2.530611196824e+44       2.302222436600e+33       1.155876166698e+34       3.601553394783e-08       1.750598097619e+44       4.281209294582e+44       2.521212432582e-07       4.778552051880e+01 
       9.724832231036e+13       7.992296563855e-26       4.765752237290e-09       2.040442161292e+22       1.456774940808e+04       1.497994933176e-10       1.416689189773e+18       2.751675402972e-09       2.460976933110e+44       2.254544804314e+33       1.131938671360e+34       3.601553394783e-08       1.702427280332e+44       4.163404213577e+44       3.361616576775e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338281e-26       4.800313035958e-09       2.012173140836e+22       1.456774940808e+04       1.508480897708e-10       1.406841300669e+18       2.770937130793e-09       2.393258779894e+44       2.207854546917e+33       1.108496907052e+34       3.601553394783e-08       1.655581968676e+44       4.048840748703e+44       4.202020720968e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587453e-26       4.833054845221e-09       1.984295769570e+22       1.456774940808e+04       1.519040263992e-10       1.397061867596e+18       2.790333690709e-09       2.327404011992e+44       2.162131216471e+33       1.085540607485e+34       3.601553394783e-08       1.610025689010e+44       3.937429701133e+44       5.042424865162e-07       2.389276025940e+01 
       9.523436845525e+13       8.333902473316e-26       4.867615643889e-09       1.956804621443e+22       1.456774940808e+04       1.529673545840e-10       1.387350414693e+18       2.809866026544e-09       2.263361355047e+44       2.117354788506e+33       1.063059718979e+34       3.601553394783e-08       1.565722971329e+44       3.829084326503e+44       5.882829009355e-07       2.047950879377e+01 
       9.457236192179e+13       8.450985469163e-26       4.900357453153e-09       1.929694345583e+22       1.456774940808e+04       1.540381260661e-10       1.377706469407e+18       2.829535088729e-09       2.201080945604e+44       2.073505653244e+33       1.041044396057e+34       3.601553394783e-08       1.522639321645e+44       3.723720267374e+44       6.723233153548e-07       1.791957019455e+01 
       9.391495722125e+13       8.569713364019e-26       4.934918251820e-09       1.902959665246e+22       1.456774940808e+04       1.551163929486e-10       1.368129562470e+18       2.849341834350e-09       2.140514292293e+44       2.030564607016e+33       1.019484997139e+34       3.601553394783e-08       1.480741195137e+44       3.621255487552e+44       7.563637297741e-07       1.592850683960e+01 
