# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       9.946121937917e+02       4.717242895491e-08       3.163567103583e-03 
    3       9.387076398284e+02       5.839288130775e-08       3.183664590400e-03 
    4       8.849990994633e+02       6.797740535620e-08       3.125812853265e-03 
    5       8.439525643385e+02       7.639273927425e-08       3.036770391213e-03 
    6       8.150068709345e+02       8.379901435805e-08       2.934252881651e-03 
    7       7.958098407021e+02       9.037858761689e-08       2.825995639372e-03 
    8       7.840343983441e+02       9.624937340743e-08       2.716690074275e-03 
    9       7.783847100164e+02       1.014876857838e-07       2.611155204558e-03 
   10       7.771026098371e+02       1.061622757364e-07       2.512661066392e-03 
   11       7.792317328900e+02       1.076890844597e-07       2.430141045924e-03 
   12       7.841781916947e+02       1.113506780954e-07       2.335161322769e-03 
   13       7.909830621119e+02       1.146378796417e-07       2.252358882077e-03 
   14       7.993820426285e+02       1.175935126403e-07       2.172488391239e-03 
   15       8.093119880817e+02       1.202502483683e-07       2.098913370172e-03 
   16       8.203920573613e+02       1.226388697427e-07       2.031387016253e-03 
   17       8.319580383848e+02       1.247854519108e-07       1.966742140799e-03 
   18       8.443821959574e+02       1.266641199481e-07       1.903404398798e-03 
   19       8.577796662475e+02       1.284389286799e-07       1.843356455049e-03 
   20       8.716779012773e+02       1.299751860677e-07       1.785364002051e-03 
   21       8.860555478651e+02       1.313582570025e-07       1.730436449648e-03 
   22       9.008274906248e+02       1.325639634615e-07       1.677921074063e-03 
   23       9.160252382309e+02       1.336608092187e-07       1.628064707142e-03 
   24       9.315654484559e+02       1.346019784239e-07       1.579818429928e-03 
   25       9.474172911131e+02       1.354408900248e-07       1.533924140508e-03 
   26       9.634783863199e+02       1.361567403826e-07       1.490613554319e-03 
   27       9.798132379893e+02       1.367761044372e-07       1.450075348608e-03 
   28       9.964646415239e+02       1.372638856282e-07       1.411648084454e-03 
   29       1.013467863520e+03       1.376916926823e-07       1.375517949792e-03 
   30       1.030761632295e+03       1.380794745497e-07       1.341155809650e-03 
   31       1.048212134821e+03       1.383489275972e-07       1.307151512984e-03 
   32       1.065846408092e+03       1.385440370599e-07       1.273762698269e-03 
   33       1.083688300626e+03       1.386928098460e-07       1.241352654724e-03 
   34       1.101716927342e+03       1.387599650640e-07       1.209862874180e-03 
   35       1.119963242618e+03       1.387768212480e-07       1.179649432284e-03 
   36       1.138435629047e+03       1.387500556954e-07       1.150862649694e-03 
   37       1.157109435151e+03       1.386413913089e-07       1.123338295949e-03 
   38       1.175999323403e+03       1.384885298327e-07       1.097314002488e-03 
   39       1.195102476171e+03       1.383265976446e-07       1.072908721435e-03 
   40       1.214373736867e+03       1.381426912151e-07       1.049857370811e-03 
   41       1.233753813601e+03       1.378908296502e-07       1.027659468600e-03 
   42       1.253275243962e+03       1.375932243806e-07       1.006306726234e-03 
   43       1.272983705446e+03       1.372748352605e-07       9.857770185016e-04 
   44       1.292906481331e+03       1.369284903187e-07       9.657991986810e-04 
   45       1.313054331028e+03       1.365269292586e-07       9.459950421753e-04 
   46       1.333432623302e+03       1.360939783955e-07       9.264895729184e-04 
   47       1.354030026632e+03       1.356574366613e-07       9.074964513493e-04 
   48       1.374813080996e+03       1.352251775677e-07       8.891390580637e-04 
   49       1.395724363849e+03       1.347790939273e-07       8.714326234187e-04 
   50       1.416706553073e+03       1.342869152091e-07       8.543255782145e-04 
   51       1.437786570880e+03       1.337625083295e-07       8.378894763613e-04 
   52       1.459011109606e+03       1.332257593023e-07       8.221726686083e-04 
   53       1.480422130227e+03       1.326835793707e-07       8.071341285157e-04 
   54       1.502056247023e+03       1.321263405998e-07       7.926299648477e-04 
   55       1.523941775306e+03       1.315361570380e-07       7.784759499662e-04 
   56       1.546090425438e+03       1.309264252195e-07       7.646964447168e-04 
   57       1.568502467616e+03       1.303145339262e-07       7.513422932587e-04 
   58       1.591168197013e+03       1.297093288402e-07       7.384154869491e-04 
   59       1.614067227384e+03       1.291089178316e-07       7.258621763143e-04 
   60       1.637167784684e+03       1.284982757935e-07       7.135653850385e-04 
   61       1.660438404508e+03       1.278572529475e-07       7.013939776449e-04 
   62       1.683887690667e+03       1.271952481754e-07       6.893868637710e-04 
   63       1.707532267966e+03       1.265271776308e-07       6.776168796747e-04 
   64       1.731384859240e+03       1.258630653519e-07       6.661366569949e-04 
   65       1.755453972529e+03       1.252068316664e-07       6.549755801612e-04 
   66       1.779743588251e+03       1.245549797139e-07       6.441366208852e-04 
   67       1.804252846384e+03       1.238951768444e-07       6.335930497331e-04 
   68       1.828979506647e+03       1.232123831546e-07       6.233084929134e-04 
   69       1.853931842467e+03       1.225138350005e-07       6.133121458910e-04 
   70       1.879118606148e+03       1.218112664998e-07       6.036401350245e-04 
   71       1.904545256649e+03       1.211134826767e-07       5.943121188522e-04 
   72       1.930213743260e+03       1.204256821544e-07       5.853292908935e-04 
   73       1.956122289274e+03       1.197487281124e-07       5.766723121055e-04 
   74       1.982265175659e+03       1.190783660160e-07       5.682991729969e-04 
   75       2.008632524729e+03       1.184043866267e-07       5.601429853960e-04 
   76       2.035214876102e+03       1.177151511598e-07       5.521346843811e-04 
   77       2.062018356121e+03       1.170152068906e-07       5.442835611297e-04 
   78       2.089051894478e+03       1.163123748842e-07       5.366144981698e-04 
   79       2.116322561185e+03       1.156125076767e-07       5.291439847741e-04 
   80       2.143835448517e+03       1.149190943204e-07       5.218791741311e-04 
   81       2.171593552954e+03       1.142328385522e-07       5.148169103500e-04 
   82       2.199597657123e+03       1.135512093889e-07       5.079427252982e-04 
   83       2.227846211743e+03       1.128679634567e-07       5.012298052714e-04 
   84       2.256337036236e+03       1.121761511884e-07       4.946500174946e-04 
   85       2.285073003098e+03       1.114794731776e-07       4.882125612157e-04 
   86       2.314057083812e+03       1.107837080220e-07       4.819329322834e-04 
   87       2.343290527750e+03       1.100932939995e-07       4.758211415024e-04 
   88       2.372772774685e+03       1.094110881331e-07       4.698811689149e-04 
   89       2.402501367300e+03       1.087381104337e-07       4.641104023430e-04 
   90       2.432471863694e+03       1.080732729725e-07       4.584990601923e-04 
   91       2.462677749893e+03       1.074130934347e-07       4.530295985166e-04 
   92       2.493110352353e+03       1.067513928087e-07       4.476761023436e-04 
   93       2.523761430974e+03       1.060818439039e-07       4.424130465510e-04 
   94       2.554631594257e+03       1.054072345095e-07       4.372452465678e-04 
   95       2.585722993907e+03       1.047323677788e-07       4.321834836233e-04 
   96       2.617036707094e+03       1.040613098517e-07       4.272354320816e-04 
   97       2.648572685751e+03       1.033972597327e-07       4.224053751041e-04 
   98       2.680329705880e+03       1.027424117804e-07       4.176939128397e-04 
   99       2.712305316852e+03       1.020978106494e-07       4.130976631436e-04 
  100       2.744495790714e+03       1.014631985268e-07       4.086089548249e-04 
  101       2.776896071488e+03       1.008368545043e-07       4.042155134216e-04 
  102       2.809499724477e+03       1.002154259282e-07       3.999001395049e-04 
  103       2.842298885564e+03       9.959375156844e-08       3.956403795114e-04 
  104       2.875285945307e+03       9.896677594821e-08       3.914154614048e-04 
  105       2.908458969481e+03       9.833630638793e-08       3.872294537351e-04 
  106       2.941816919669e+03       9.770571704391e-08       3.830921570365e-04 
  107       2.975357952605e+03       9.707793822957e-08       3.790121264276e-04 
  108       3.009079388543e+03       9.645538551413e-08       3.749965540107e-04 
  109       3.042977679626e+03       9.583988520450e-08       3.710511483893e-04 
  110       3.077048378250e+03       9.523259614048e-08       3.671800113011e-04 
  111       3.111286105429e+03       9.463392773375e-08       3.633855113694e-04 
