# Matter power spectrum P(k) at redshift z=0
# for k=1.01612e-05 to 0.610692 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.016116750721e-05       4.214073403883e+01 
       2.281474729910e-05       9.461697962941e+01 
       3.551100314346e-05       1.472676057507e+02 
       4.828289662198e-05       2.002278335428e+02 
       6.116391329878e-05       2.536349405720e+02 
       7.418835089223e-05       3.076294522288e+02 
       8.739161632305e-05       3.623563135056e+02 
       1.008105354631e-04       4.179661308508e+02 
       1.144836794386e-04       4.746164666204e+02 
       1.284517113748e-04       5.324732096335e+02 
       1.427577574786e-04       5.917120374832e+02 
       1.574478063187e-04       6.525199753922e+02 
       1.725711400279e-04       7.150970766897e+02 
       1.881808008651e-04       7.796582188580e+02 
       2.043340960610e-04       8.464350354523e+02 
       2.210931430202e-04       9.156779803860e+02 
       2.385254556323e-04       9.876585180895e+02 
       2.567045704829e-04       1.062671433068e+03 
       2.757107089279e-04       1.141037219545e+03 
       2.956314670411e-04       1.223104514859e+03 
       3.165625200511e-04       1.309252502158e+03 
       3.386083207181e-04       1.399893181830e+03 
       3.618827618188e-04       1.495473367787e+03 
       3.865097612626e-04       1.596476218271e+03 
       4.126237142592e-04       1.703422044696e+03 
       4.403697406663e-04       1.816868102673e+03 
       4.699036380091e-04       1.937406956171e+03 
       5.013914333916e-04       2.065662990109e+03 
       5.350084135078e-04       2.202286573789e+03 
       5.709375055224e-04       2.347945385092e+03 
       6.093668884518e-04       2.503312469631e+03 
       6.504867414954e-04       2.669050714924e+03 
       6.944850888812e-04       2.845793730541e+03 
       7.415427840513e-04       3.034123431521e+03 
       7.918277878580e-04       3.234545213316e+03 
       8.454890258681e-04       3.447461991668e+03 
       9.026502388514e-04       3.673149097027e+03 
       9.634043394337e-04       3.911732186916e+03 
       1.027808825437e-03       4.163170652351e+03 
       1.095882752431e-03       4.427248496209e+03 
       1.167605628086e-03       4.703574290458e+03 
       1.242918376980e-03       4.991590429239e+03 
       1.321726277057e-03       5.290590538392e+03 
       1.403903539557e-03       5.599709231399e+03 
       1.489299039551e-03       5.918056306008e+03 
       1.577742631352e-03       6.244644091008e+03 
       1.669051503438e-03       6.578451029903e+03 
       1.763036120629e-03       6.918448587896e+03 
       1.859505434796e-03       7.263624386602e+03 
       1.958271186810e-03       7.613000646678e+03 
       2.059151247055e-03       7.965648225412e+03 
       2.161972036187e-03       8.320696277679e+03 
       2.266570128433e-03       8.677338288199e+03 
       2.372793170322e-03       9.034834520063e+03 
       2.480500255236e-03       9.392511335931e+03 
       2.589561886373e-03       9.749761265192e+03 
       2.699859644326e-03       1.010603663547e+04 
       2.811285655588e-03       1.046085341761e+04 
       2.923741938222e-03       1.081377518957e+04 
       3.037139682720e-03       1.116442000980e+04 
       3.151398510473e-03       1.151244908359e+04 
       3.266445739678e-03       1.185756546792e+04 
       3.382215678616e-03       1.219950868209e+04 
       3.498648958747e-03       1.253805106921e+04 
       3.615691914624e-03       1.287299410987e+04 
       3.733296013669e-03       1.320416717591e+04 
       3.851417336209e-03       1.353142152803e+04 
       3.970016104347e-03       1.385463130038e+04 
       4.089056257154e-03       1.417368589399e+04 
       4.208505069022e-03       1.448849856531e+04 
       4.328332807716e-03       1.479898944617e+04 
       4.448512428598e-03       1.510509598320e+04 
       4.569019301552e-03       1.540677158087e+04 
       4.689830967329e-03       1.570389967108e+04 
       4.810926920224e-03       1.599660298858e+04 
       4.932288414280e-03       1.628474454865e+04 
       5.053898290434e-03       1.656834054707e+04 
       5.175740822285e-03       1.684747568193e+04 
       5.297801578406e-03       1.712206094554e+04 
       5.420067299345e-03       1.739207622951e+04 
       5.542525787642e-03       1.765755789490e+04 
       5.665165809416e-03       1.791787473948e+04 
       5.787977006205e-03       1.817425936605e+04 
       5.910949815910e-03       1.842594859484e+04 
       6.034075401830e-03       1.867354613655e+04 
       6.157345588887e-03       1.891652987204e+04 
       6.280752806240e-03       1.915491576651e+04 
       6.404290035597e-03       1.938905437219e+04 
       6.527950764595e-03       1.961880096095e+04 
       6.651728944712e-03       1.984472894872e+04 
       6.775618953214e-03       2.006596553189e+04 
       6.899615558713e-03       2.028308310341e+04 
       7.023713889964e-03       2.049599478237e+04 
       7.147909407548e-03       2.070454856129e+04 
       7.272197878162e-03       2.090913989455e+04 
       7.396575351235e-03       2.110941358405e+04 
       7.521038137644e-03       2.130562466903e+04 
       7.645582790312e-03       2.149763310523e+04 
       7.770206086516e-03       2.168586887403e+04 
       7.894905011716e-03       2.186998658923e+04 
       8.019676744785e-03       2.205112313695e+04 
       8.144518644479e-03       2.222749315099e+04 
       8.269428237047e-03       2.240007931827e+04 
       8.394403204869e-03       2.256882305853e+04 
       8.519441376026e-03       2.273379019862e+04 
       8.644540714715e-03       2.289503660271e+04 
       8.769699312440e-03       2.305266179959e+04 
       8.894915379899e-03       2.320644022768e+04 
       9.020187239508e-03       2.335672561998e+04 
       9.145513318520e-03       2.350347239130e+04 
       9.270892142661e-03       2.364662694091e+04 
       9.396322330262e-03       2.378628061122e+04 
       9.521802586839e-03       2.392243300084e+04 
       9.647331700068e-03       2.405521367076e+04 
       9.772908535151e-03       2.418462053932e+04 
       9.898532030511e-03       2.431061632393e+04 
       1.002420119381e-02       2.443334975147e+04 
       1.014991509827e-02       2.455270318360e+04 
       1.027567287922e-02       2.466896474412e+04 
       1.040147373092e-02       2.478189612152e+04 
       1.052731690367e-02       2.489175129543e+04 
       1.065320170095e-02       2.499745754318e+04 
       1.077912747700e-02       2.510210878719e+04 
       1.090509363435e-02       2.520246907251e+04 
       1.103109962166e-02       2.529897476778e+04 
       1.115714493170e-02       2.539339503669e+04 
       1.128322909937e-02       2.548473456602e+04 
       1.140935169999e-02       2.557463624783e+04 
       1.153551234761e-02       2.566023010408e+04 
       1.166171069350e-02       2.574322239239e+04 
       1.178794642470e-02       2.582322095855e+04 
       1.191421926272e-02       2.590044339251e+04 
       1.204052896226e-02       2.597472512284e+04 
       1.216687531009e-02       2.604647471364e+04 
       1.229325812397e-02       2.611549611791e+04 
       1.241967725165e-02       2.618189010407e+04 
       1.254613256998e-02       2.624469945222e+04 
       1.267262398400e-02       2.630562217196e+04 
       1.279915142621e-02       2.636522566876e+04 
       1.292571485577e-02       2.642131310986e+04 
       1.305231425787e-02       2.647467335626e+04 
       1.317894964309e-02       2.652501999256e+04 
       1.330562104680e-02       2.657431230452e+04 
       1.343232852866e-02       2.662033689453e+04 
       1.355907217212e-02       2.666310406261e+04 
       1.368585208395e-02       2.670423195294e+04 
       1.381266839389e-02       2.674429733249e+04 
       1.393952125421e-02       2.678106063498e+04 
       1.406641083943e-02       2.681544597197e+04 
       1.419333734600e-02       2.684776105615e+04 
       1.432030099202e-02       2.687770655807e+04 
       1.444730201703e-02       2.690547622161e+04 
       1.457434068177e-02       2.692972786787e+04 
       1.470141726802e-02       2.695371315160e+04 
       1.482853207844e-02       2.697455112414e+04 
       1.495568543644e-02       2.699389125027e+04 
       1.508287768610e-02       2.701240256184e+04 
       1.521010919203e-02       2.702711090692e+04 
       1.533738033939e-02       2.703981594452e+04 
       1.546469153380e-02       2.705081625592e+04 
       1.559204320136e-02       2.706018134160e+04 
       1.571943578864e-02       2.706746395243e+04 
       1.584686976272e-02       2.707409236186e+04 
       1.597434561123e-02       2.707752165973e+04 
       1.610186384241e-02       2.707855512266e+04 
       1.622942498523e-02       2.707910377257e+04 
       1.635702958947e-02       2.707729060659e+04 
       1.648467822582e-02       2.707369159285e+04 
       1.661237148609e-02       2.706707947173e+04 
       1.674010998330e-02       2.705998117442e+04 
       1.686789435188e-02       2.705106984350e+04 
       1.699572524789e-02       2.704053135016e+04 
       1.712360334918e-02       2.702924857731e+04 
       1.725152935565e-02       2.701562906006e+04 
       1.737950398951e-02       2.699914285360e+04 
       1.750752799547e-02       2.698214200193e+04 
       1.763560214111e-02       2.696455900429e+04 
       1.776372721710e-02       2.694468945883e+04 
       1.789190403752e-02       2.692187102040e+04 
       1.802013344025e-02       2.689974384285e+04 
       1.814841628721e-02       2.687453910263e+04 
       1.827675346480e-02       2.684927390771e+04 
       1.840514588426e-02       2.682192532857e+04 
       1.853359448202e-02       2.679192128519e+04 
       1.866210022017e-02       2.676275936655e+04 
       1.879066408684e-02       2.673130306706e+04 
       1.891928709669e-02       2.669834418355e+04 
       1.904797029132e-02       2.666342500463e+04 
       1.917671473978e-02       2.662795236473e+04 
       1.930552153909e-02       2.659201627764e+04 
       1.943439181470e-02       2.655395055617e+04 
       1.956332672108e-02       2.651485870269e+04 
       1.969232744225e-02       2.647420263281e+04 
       1.982139519235e-02       2.643264506314e+04 
       1.995053121625e-02       2.638913215816e+04 
       2.007973679014e-02       2.634517631807e+04 
       2.020901322222e-02       2.629983568084e+04 
       2.033836185327e-02       2.625457005004e+04 
       2.046778405742e-02       2.620749232507e+04 
       2.059728124279e-02       2.615909768344e+04 
       2.072685485222e-02       2.610870603740e+04 
       2.085650636405e-02       2.605858303297e+04 
       2.098623729286e-02       2.600725669938e+04 
       2.111604919028e-02       2.595549465876e+04 
       2.124594364580e-02       2.590136877880e+04 
       2.137592228761e-02       2.584787420496e+04 
       2.150598678352e-02       2.579252181680e+04 
       2.163613884179e-02       2.573636644548e+04 
       2.176638021213e-02       2.567883733240e+04 
       2.189671268661e-02       2.562085196959e+04 
       2.202713810066e-02       2.556230792148e+04 
       2.215765833409e-02       2.550284697985e+04 
       2.228827531217e-02       2.544232828724e+04 
       2.241899100668e-02       2.538068002090e+04 
       2.254980743701e-02       2.531838583256e+04 
       2.268072667139e-02       2.525615112289e+04 
       2.281175082799e-02       2.519219499979e+04 
       2.294288207623e-02       2.512774946553e+04 
       2.307412263798e-02       2.506317222807e+04 
       2.320547478890e-02       2.499740087041e+04 
       2.333694085979e-02       2.493098536887e+04 
       2.346852323795e-02       2.486331855564e+04 
       2.360022436866e-02       2.479552948153e+04 
       2.373204675664e-02       2.472721433931e+04 
       2.386399296755e-02       2.465812406801e+04 
       2.399606562963e-02       2.458843191945e+04 
       2.412826743528e-02       2.451815879942e+04 
       2.426060114274e-02       2.444736095630e+04 
       2.439306957788e-02       2.437590385677e+04 
       2.452567563592e-02       2.430448706767e+04 
       2.465842228337e-02       2.423151876320e+04 
       2.479131255985e-02       2.415854966812e+04 
       2.492434958015e-02       2.408490235638e+04 
       2.505753653623e-02       2.401135684996e+04 
       2.519087669934e-02       2.393679453897e+04 
       2.532437342223e-02       2.386176926778e+04 
       2.545803014138e-02       2.378613726336e+04 
       2.559185037934e-02       2.371034493573e+04 
       2.572583774718e-02       2.363412277617e+04 
       2.585999594695e-02       2.355741466200e+04 
       2.599432877431e-02       2.348035478095e+04 
       2.612884012118e-02       2.340279933358e+04 
       2.626353397851e-02       2.332486241978e+04 
       2.639841443919e-02       2.324687193562e+04 
       2.653348570099e-02       2.316806702130e+04 
       2.666875206967e-02       2.308907496975e+04 
       2.680421796214e-02       2.300990605435e+04 
       2.693988790983e-02       2.293027295683e+04 
       2.707576656206e-02       2.285051037911e+04 
       2.721185868963e-02       2.277034074852e+04 
       2.734816918853e-02       2.268968076971e+04 
       2.748470308374e-02       2.260905106054e+04 
       2.762146553325e-02       2.252810420032e+04 
