# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_scf            16:(.)p_scf              17:(.)w_scf              18:phi_scf               19:phi'_scf              20:V_scf                 21:V'_scf                22:V''_scf               23:gr.fac. D             24:gr.fac. f          
       1.000000000000e+14       7.558503632249e-26       4.634785000235e-09       2.157545946641e+22       1.444004024840e+04       1.444004024840e-10       1.444004024840e+18       2.675958164824e-09       2.751560535470e+44       2.451390603497e+33       1.023877174596e+34       3.554548859112e-08       1.903443976270e+44       4.655004511867e+44       1.592622406056e+02       0.000000000000e+00       0.000000000000e+00       1.111408185898e+01       1.030286587647e-01       3.204219030925e+02      -3.717085734177e+02      -4.851841563075e+04       1.373916988155e-19       2.000000000000e+14 
       9.930486593843e+13       7.664693049779e-26       4.667526809499e-09       2.127654528175e+22       1.444004024840e+04       1.454112053014e-10       1.433966261013e+18       2.694689871977e-09       2.675846458098e+44       2.400623788821e+33       1.002673298437e+34       3.554548859112e-08       1.851067333040e+44       4.526913791263e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       1.464059046063e-34       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       1.916782843058e-07       1.433565615564e+02 
       9.861456399050e+13       7.772374322435e-26       4.700268618762e-09       2.098177236184e+22       1.444004024840e+04       1.464290837385e-10       1.423998273101e+18       2.713552701081e-09       2.602215788102e+44       2.350908324129e+33       9.819085417111e+33       3.554548859112e-08       1.800131926217e+44       4.402347714440e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       2.938795449722e-34       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       3.833565686114e-07       7.167828077820e+01 
       9.792906056653e+13       7.881568409291e-26       4.733010428026e-09       2.069108333211e+22       1.444004024840e+04       1.474540873247e-10       1.414099576069e+18       2.732547569989e-09       2.530611196824e+44       2.302222436600e+33       9.615738105202e+33       3.554548859112e-08       1.750598097619e+44       4.281209294562e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       4.424716025033e-34       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       5.750348529169e-07       4.778552051881e+01 
       9.724832231036e+13       7.992296563873e-26       4.765752237290e-09       2.040442161287e+22       1.444004024840e+04       1.484862659360e-10       1.404269688251e+18       2.751675402979e-09       2.460976933110e+44       2.254544804314e+33       9.416601992962e+33       3.554548859112e-08       1.702427280332e+44       4.163404213558e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       5.922334410526e-34       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       7.667131372225e-07       3.583914038910e+01 
       9.657231609767e+13       8.104580338299e-26       4.800313035958e-09       2.012173140832e+22       1.444004024840e+04       1.495256697975e-10       1.394508131332e+18       2.770937130799e-09       2.393258779894e+44       2.207854546917e+33       9.221589868997e+33       3.554548859112e-08       1.655581968676e+44       4.048840748685e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       7.432171267458e-34       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       9.583914215280e-07       2.867131231128e+01 
       9.590100903443e+13       8.218441587472e-26       4.833054845221e-09       1.984295769565e+22       1.444004024840e+04       1.505723494861e-10       1.384814430320e+18       2.790333690715e-09       2.327404011992e+44       2.162131216471e+33       9.030616328007e+33       3.554548859112e-08       1.610025689010e+44       3.937429701115e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       8.954754481516e-34       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       1.150069705834e-06       2.389276025940e+01 
       9.523436845525e+13       8.333902473334e-26       4.867615643889e-09       1.956804621439e+22       1.444004024840e+04       1.516263559325e-10       1.375188113525e+18       2.809866026550e-09       2.263361355047e+44       2.117354788506e+33       8.843597733385e+33       3.554548859112e-08       1.565722971329e+44       3.829084326485e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       1.049061936805e-33       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       1.341747990139e-06       2.047950879377e+01 
       9.457236192179e+13       8.450985469182e-26       4.900357453153e-09       1.929694345578e+22       1.444004024840e+04       1.526877404240e-10       1.365628712537e+18       2.829535088736e-09       2.201080945604e+44       2.073505653244e+33       8.660452180587e+33       3.554548859112e-08       1.522639321645e+44       3.723720267356e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       1.204030888093e-33       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       1.533426274445e-06       1.791957019455e+01 
       9.391495722125e+13       8.569713364038e-26       4.934918251820e-09       1.902959665241e+22       1.444004024840e+04       1.537565546070e-10       1.356135762202e+18       2.849341834357e-09       2.140514292293e+44       2.030564607016e+33       8.481099461263e+33       3.554548859112e-08       1.480741195137e+44       3.621255487535e+44       1.592622406056e+02      -1.592622406056e+02      -1.000000000000e+00       9.450000000000e+00       1.360437382508e-33       4.777867218168e+02      -1.128078915154e+02      -2.777938594845e+05       1.725104558750e-06       1.592850683960e+01 
