# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.495019851027e-10       7.296707787408e-15       4.813764287799e-13       0.000000000000e+00       8.734230077565e-09       4.856521998494e-10      -2.512507530067e-12 
    3       1.409153483640e-10       1.236168004516e-14       6.062668209090e-13       0.000000000000e+00       5.421480529172e-09       3.463836000770e-10      -2.209104706260e-12 
    4       1.324534900373e-10       1.443334756036e-14       6.271427823445e-13       0.000000000000e+00       3.775069528848e-09       2.635878405025e-10      -1.762188790137e-12 
    5       1.257481350550e-10       1.334813129118e-14       5.873186803636e-13       0.000000000000e+00       2.817197782621e-09       2.091075537865e-10      -1.308038328564e-12 
    6       1.208066702976e-10       1.029966685022e-14       5.168470626994e-13       0.000000000000e+00       2.198638086772e-09       1.707229508806e-10      -8.937896396595e-13 
    7       1.173342200006e-10       6.826279864751e-15       4.360962170515e-13       0.000000000000e+00       1.772745241364e-09       1.424068511024e-10      -5.436971390304e-13 
    8       1.150105602323e-10       4.033745442196e-15       3.573402603887e-13       0.000000000000e+00       1.465256725215e-09       1.207847588132e-10      -2.685298077512e-13 
    9       1.135915081924e-10       2.331903420076e-15       2.878446110516e-13       0.000000000000e+00       1.234304887657e-09       1.038183175828e-10      -6.990918737942e-14 
   10       1.128625412704e-10       1.569140882054e-15       2.316651964145e-13       0.000000000000e+00       1.055338724430e-09       9.024281134425e-11       5.749325784530e-14 
   11       1.126832445412e-10       1.344015971176e-15       1.905081176262e-13       0.000000000000e+00       8.886850301879e-10       7.949327726111e-11       1.232678651276e-13 
   12       1.129454719418e-10       1.286591809785e-15       1.640646676808e-13       0.000000000000e+00       7.765240177004e-10       7.027204900069e-11       1.420471187387e-13 
   13       1.135295206841e-10       1.199116244180e-15       1.505803743272e-13       0.000000000000e+00       6.844530934374e-10       6.273325726757e-11       1.276081284332e-13 
   14       1.143366985452e-10       1.053488798343e-15       1.474745836224e-13       0.000000000000e+00       6.078479731773e-10       5.619388701844e-11       9.269400187571e-14 
   15       1.153734058612e-10       9.095439081832e-16       1.517338046610e-13       0.000000000000e+00       5.433670566914e-10       5.072984484002e-11       4.954835478074e-14 
   16       1.166007497043e-10       8.286228059593e-16       1.603694196337e-13       0.000000000000e+00       4.885433208166e-10       4.609996266097e-11       7.262219453456e-15 
   17       1.179359615981e-10       8.280633145732e-16       1.708742940914e-13       0.000000000000e+00       4.415135307778e-10       4.210500324028e-11      -2.784166845011e-14 
   18       1.193830994518e-10       8.805777878880e-16       1.813525589922e-13       0.000000000000e+00       4.006931883935e-10       3.855886108954e-11      -5.224046385250e-14 
   19       1.209498756226e-10       9.535057262245e-16       1.908582989455e-13       0.000000000000e+00       3.654359544967e-10       3.543079204116e-11      -6.504178127256e-14 
   20       1.225801983515e-10       1.013307311423e-15       1.986929394761e-13       0.000000000000e+00       3.343821861913e-10       3.266625644728e-11      -6.704745671135e-14 
   21       1.242862756544e-10       1.062944711150e-15       2.048904747770e-13       0.000000000000e+00       3.070444651207e-10       3.022038653973e-11      -6.038151401744e-14 
