# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
# The units of phi, tau in the derivatives and the potential V are the following:
# --> phi is given in units of the reduced Planck mass m_Pl = (8 pi G)^(-1/2)
# --> tau in the derivative of V(phi) is given in units of Mpc.
# --> the potential V(phi) is given in units of m_Pl^2/Mpc^2.
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_fld            14:(.)w_fld              15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_scf            18:(.)p_scf              19:(.)w_scf              20:phi_scf               21:phi'_scf              22:V_scf                 23:V'_scf                24:V''_scf               25:gr.fac. D             26:gr.fac. f          
       1.000000000000e+14       6.714627513004e-26       4.118192009628e-09       2.428700451789e+22       1.195668094762e+04       1.195668094762e-10       1.195668094762e+18       2.377198343930e-09       2.751560535470e+44       2.451390603497e+33       1.339408137477e+34       1.461743466675e-08       1.609594368308e-04      -9.000000000000e-01       1.903443976270e+44       5.898585884522e+44       1.243581372623e+44       4.145271242077e+43       3.333333333333e-01      -3.386091134824e+01       2.230319593801e+08       1.243581372623e+44      -3.728871284322e+44       1.118099817281e+45       4.633011218618e-19       2.000000000000e+14 
       9.930486446491e+13       6.808961315286e-26       4.145476850681e-09       2.395067600336e+22       1.195668094762e+04       1.204037789291e-10       1.187356580954e+18       2.393838732338e-09       2.675846299278e+44       2.400623681957e+33       1.311669747794e+34       1.461743466675e-08       1.606229510595e-04      -9.000000000000e-01       1.851067223173e+44       5.736348810182e+44       1.209435287576e+44       3.961365972828e+43       3.275384812666e-01      -3.385451241712e+01       2.210064668230e+08       1.219948035439e+44      -3.658006864577e+44       1.096851163539e+45       6.463619315539e-07       1.433556456949e+02 
       9.861455667770e+13       6.904619805927e-26       4.174580681138e-09       2.361930477838e+22       1.195668094762e+04       1.212466125736e-10       1.179102790986e+18       2.410595496596e-09       2.602215016230e+44       2.350907801132e+33       1.284505633171e+34       1.461743466675e-08       1.602871665730e-04      -9.000000000000e-01       1.800131392260e+44       5.578715582139e+44       1.176369173498e+44       3.784940822960e+43       3.217477054167e-01      -3.384812708605e+01       2.190108854067e+08       1.196812636803e+44      -3.588635510579e+44       1.076050204666e+45       1.292719721710e-06       7.167667815116e+01 
       9.792904314167e+13       7.001620355770e-26       4.203684511594e-09       2.329281378750e+22       1.195668094762e+04       1.220953515325e-10       1.170906324351e+18       2.427469235669e-09       2.530609395703e+44       2.302221207673e+33       1.257903907860e+34       1.461743466675e-08       1.599520819151e-04      -9.000000000000e-01       1.750596851659e+44       5.425551741392e+44       1.144345493881e+44       3.615702513062e+43       3.159624896848e-01      -3.384175507076e+01       2.170448339633e+08       1.174162863862e+44      -3.520720302313e+44       1.055685870216e+45       1.939065109282e-06       4.778328205874e+01 
       9.724829059215e+13       7.099980545543e-26       4.234607331455e-09       2.297112723875e+22       1.195668094762e+04       1.229500372173e-10       1.162766783312e+18       2.444460549794e-09       2.460973722453e+44       2.254542598309e+33       1.231852932028e+34       1.461743466675e-08       1.596176956325e-04      -9.000000000000e-01       1.702425059299e+44       5.276726866190e+44       1.113328084293e+44       3.453369186945e+43       3.101843235310e-01      -3.383539608577e+01       2.151079358528e+08       1.151986748398e+44      -3.454225353150e+44       1.035747399607e+45       2.585389836767e-06       3.583627896848e+01 
       9.657226599492e+13       7.199718168114e-26       4.263711161911e-09       2.265417058116e+22       1.195668094762e+04       1.238107113304e-10       1.154683772890e+18       2.461570040468e-09       2.393253813304e+44       2.207851110542e+33       1.206341306677e+34       1.461743466675e-08       1.592840062747e-04      -9.000000000000e-01       1.655578532944e+44       5.132114447203e+44       1.083282100812e+44       3.297669965613e+43       3.044147007636e-01      -3.382904984442e+01       2.131998188918e+08       1.130272656376e+44      -3.389115778509e+44       1.016224332716e+45       3.231685650422e-06       2.866783318766e+01 
       9.590093654464e+13       7.300851230762e-26       4.292814992368e-09       2.234187048271e+22       1.195668094762e+04       1.246774158671e-10       1.146656900842e+18       2.478798310423e-09       2.327396975035e+44       2.162126313530e+33       1.181357868658e+34       1.461743466675e-08       1.589510123945e-04      -9.000000000000e-01       1.610020821062e+44       4.991591766663e+44       1.054173970427e+44       3.148344518681e+43       2.986551183204e-01      -3.382271605880e+01       2.113201152847e+08       1.109009277838e+44      -3.325357665542e+44       9.971065007982e+44       3.877944300354e-06       2.388866615014e+01 
       9.523426966328e+13       7.403397957475e-26       4.323737812229e-09       2.203415480877e+22       1.195668094762e+04       1.255501931174e-10       1.138685777643e+18       2.496145963611e-09       2.263351963413e+44       2.117348199159e+33       1.156891685797e+34       1.461743466675e-08       1.586187125472e-04      -9.000000000000e-01       1.565716474489e+44       4.855039781370e+44       1.025971343332e+44       3.005142652539e+43       2.929070750436e-01      -3.381639443987e+01       2.094684615539e+08       1.088185617117e+44      -3.262918043811e+44       9.783840176858e+44       4.524157540626e-06       2.047480132639e+01 
       9.457223299852e+13       7.507376791272e-26       4.352841642685e-09       2.173095260089e+22       1.195668094762e+04       1.264290856684e-10       1.130770016467e+18       2.513613605185e-09       2.201068943367e+44       2.073497173300e+33       1.132932052115e+34       1.461743466675e-08       1.582871052915e-04      -9.000000000000e-01       1.522631018871e+44       4.722343009420e+44       9.986430470480e+43       2.867823914632e+43       2.871720704519e-01      -3.381008469741e+01       2.076444984721e+08       1.067790983377e+44      -3.201764856911e+44       9.600472712858e+44       5.170317129380e-06       1.791425045104e+01 
       9.391479442224e+13       7.612806396537e-26       4.383764462546e-09       2.143219405598e+22       1.195668094762e+04       1.273141364061e-10       1.122909233168e+18       2.531201841480e-09       2.140499450240e+44       2.030554047250e+33       1.109468483152e+34       1.461743466675e-08       1.579561891885e-04      -9.000000000000e-01       1.480730927867e+44       4.593389420533e+44       9.721590422948e+43       2.736157213201e+43       2.814516035095e-01      -3.380378654006e+01       2.058478709947e+08       1.047814981462e+44      -3.141866935024e+44       9.420869153468e+44       5.816414828977e-06       1.592257559869e+01 
       9.326192202896e+13       7.719705661389e-26       4.414687282406e-09       2.113781050601e+22       1.195668094762e+04       1.282053885176e-10       1.115103046262e+18       2.548911279995e-09       2.081596352120e+44       1.988500029342e+33       1.086490711384e+34       1.461743466675e-08       1.576259628028e-04      -9.000000000000e-01       1.439983597087e+44       4.468070329881e+44       9.464903805448e+43       2.609920451903e+43       2.757471713976e-01      -3.379749967534e+01       2.040782281932e+08       1.028247503032e+44      -3.083193968356e+44       9.244938614952e+44       6.462442406157e-06       1.432911401429e+01 
       9.261358413430e+13       7.828093700071e-26       4.445610102266e-09       2.084773439793e+22       1.195668094762e+04       1.291028854934e-10       1.107351076909e+18       2.566742529377e-09       2.024313813197e+44       1.947316716736e+33       1.063988681739e+34       1.461743466675e-08       1.572964247016e-04      -9.000000000000e-01       1.400357318743e+44       4.346280295265e+44       9.216091631994e+43       2.488900178702e+43       2.700602682878e-01      -3.379122380966e+01       2.023352231890e+08       1.009078717994e+44      -3.025716481432e+44       9.072592715276e+44       7.108391632214e-06       1.302526212692e+01 
       9.196974927350e+13       7.937989855359e-26       4.476532922126e-09       2.056189927408e+22       1.195668094762e+04       1.300066711290e-10       1.099652948896e+18       2.584696199400e-09       1.968607258130e+44       1.906986087379e+33       1.041952547198e+34       1.461743466675e-08       1.569675734552e-04      -9.000000000000e-01       1.361821257002e+44       4.227917017576e+44       8.974885023209e+43       2.372891248504e+43       2.643923841216e-01      -3.378495864836e+01       2.006185130886e+08       9.902990662058e+43      -2.969405808224e+44       8.903745499524e+44       7.754254283189e-06       1.193861755674e+01 
       9.133038619984e+13       8.049413701000e-26       4.507455741987e-09       2.028023975300e+22       1.195668094762e+04       1.309167895278e-10       1.092008288614e+18       2.602772900951e-09       1.914433337397e+44       1.867490492124e+33       1.020372664497e+34       1.461743466675e-08       1.566394076366e-04      -9.000000000000e-01       1.324345424011e+44       4.112881244390e+44       8.741024828618e+43       2.261696498971e+43       2.587450033966e-01      -3.377870389569e+01       1.989277589188e+08       9.718992494470e+43      -2.914234068071e+44       8.738313367708e+44       8.400022140089e-06       1.101905558019e+01 
       9.069546388324e+13       8.162385044174e-26       4.540197551250e-09       2.000269151046e+22       1.195668094762e+04       1.318332851025e-10       1.084416725048e+18       2.620973246011e-09       1.861749893588e+44       1.828812647021e+33       9.992395899073e+33       1.461743466675e-08       1.563119258220e-04      -9.000000000000e-01       1.287900656588e+44       4.001076676627e+44       8.514261263325e+43       2.155126439013e+43       2.531196039633e-01      -3.377245925489e+01       1.972626255632e+08       9.538702236468e+43      -2.860174142384e+44       8.576215004892e+44       9.045686989118e-06       1.023077282450e+01 
       9.006495150865e+13       8.276923927983e-26       4.571120371111e-09       1.972919126105e+22       1.195668094762e+04       1.327562025775e-10       1.076877889752e+18       2.639297847639e-09       1.810515928638e+44       1.790935625762e+33       9.785440751143e+33       1.461743466675e-08       1.559851265905e-04      -9.000000000000e-01       1.252458593544e+44       3.892409878152e+44       8.294353558539e+43       2.052998949462e+43       2.475176558333e-01      -3.376622442815e+01       1.956227816990e+08       9.362031913616e+43      -2.807199652078e+44       8.417371313559e+44       9.691240621931e-06       9.547513484333e+00 
