# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
    2       1.363882154524e-10       6.968692730246e-15       4.961596865598e-13       2.439839035163e-19       9.022065521962e-09       3.920554003577e-10      -2.470272075595e-12 
    3       1.312069353550e-10       1.200775583327e-14       6.124437153815e-13       4.882000663572e-19       5.637905632256e-09       2.880073546352e-10      -2.184879048387e-12 
    4       1.250751807925e-10       1.433813668660e-14       6.314490069383e-13       8.141749332568e-19       3.932347902407e-09       2.225031737826e-10      -1.761743660925e-12 
    5       1.199655613132e-10       1.360478299172e-14       5.927914056465e-13       1.222196286585e-18       2.936361327430e-09       1.782481705086e-10      -1.328664746173e-12 
    6       1.161187627579e-10       1.080479201846e-14       5.243473674081e-13       1.712605723387e-18       2.294363543688e-09       1.466212339066e-10      -9.292292273554e-13 
    7       1.134443425245e-10       7.384042648301e-15       4.453442105925e-13       2.285787617063e-18       1.850781373317e-09       1.230237136787e-10      -5.867020152261e-13 
    8       1.116857865715e-10       4.475604996248e-15       3.675847738643e-13       2.942156865347e-18       1.528348107982e-09       1.048222561375e-10      -3.120813191015e-13 
    9       1.106686753392e-10       2.588040974726e-15       2.981398214090e-13       3.682145899470e-18       1.285686568434e-09       9.042294773787e-11      -1.081607566537e-13 
   10       1.102741195321e-10       1.668896489815e-15       2.408840922501e-13       4.506191456350e-18       1.098382059919e-09       7.883326983456e-11       2.857577968348e-14 
   11       1.103371190327e-10       1.367150104643e-15       1.976318598172e-13       5.414721622557e-18       9.198038696076e-10       6.958817748825e-11       1.054899604981e-13 
   12       1.107656203068e-10       1.305945306485e-15       1.685728473245e-13       6.408143645376e-18       8.033487450401e-10       6.171618587491e-11       1.358120659331e-13 
   13       1.114971707648e-10       1.247025209602e-15       1.524318706639e-13       7.486832973019e-18       7.078158485558e-10       5.511421391754e-11       1.310347271943e-13 
   14       1.124431765990e-10       1.121648648639e-15       1.468886438295e-13       8.651123934418e-18       6.283714674638e-10       4.951850738014e-11       1.035677896328e-13 
   15       1.135474729589e-10       9.711646703162e-16       1.492236859854e-13       9.901302400944e-18       5.615399019420e-10       4.484336219542e-11       6.472920869621e-14 
   16       1.148343104381e-10       8.631278164229e-16       1.567042849495e-13       1.123760069083e-17       5.047468678273e-10       4.087609204740e-11       2.360023921019e-14 
   17       1.162588846401e-10       8.336275039885e-16       1.667617076416e-13       1.266019488510e-17       4.560478264847e-10       3.731741288248e-11      -1.328571386791e-14 
   18       1.177460546950e-10       8.720281248993e-16       1.773358937501e-13       1.416920345226e-17       4.137926007514e-10       3.418407964231e-11      -4.133703626273e-14 
   19       1.193222352076e-10       9.466248465294e-16       1.873315938505e-13       1.576469536152e-17       3.773128054346e-10       3.147593051858e-11      -5.883086232053e-14 
   20       1.209904688174e-10       1.017535061672e-15       1.958506862939e-13       1.744668181850e-17       3.451928929830e-10       2.908313638065e-11      -6.571890048188e-14 
   21       1.227419656567e-10       1.076930220225e-15       2.027472744624e-13       1.921514017735e-17       3.169254118876e-10       2.695576764808e-11      -6.341956108481e-14 
   22       1.245341351522e-10       1.130975171440e-15       2.082219612761e-13       2.107000413613e-17       2.918327092656e-10       2.502979723939e-11      -5.459878254499e-14 
   23       1.263733351644e-10       1.199183271502e-15       2.126683617463e-13       2.301119256288e-17       2.695677901395e-10       2.328633132951e-11      -4.186412405239e-14 
   24       1.282596187884e-10       1.305375770982e-15       2.166250401994e-13       2.503859963773e-17       2.496133917867e-10       2.170294924585e-11      -2.819594631419e-14 
