# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       1.025532373735e+03       4.338012348620e-08       2.937788622524e-03 
    3       9.574472914566e+02       5.161826420634e-08       2.849252031346e-03 
    4       8.934721430234e+02       5.784709796275e-08       2.701143017582e-03 
    5       8.441132505486e+02       6.281336880412e-08       2.549459874422e-03 
    6       8.080175483768e+02       6.678519147820e-08       2.398842337025e-03 
    7       7.794183094350e+02       6.995921744885e-08       2.237228740133e-03 
    8       7.582801938156e+02       7.247173341669e-08       2.069416289459e-03 
    9       7.447160744795e+02       7.443507081616e-08       1.918407008896e-03 
   10       7.344968375895e+02       7.594467782337e-08       1.798720677389e-03 
   11       7.268721832234e+02       7.662524359917e-08       1.728563243748e-03 
   12       7.201392543736e+02       7.747407639433e-08       1.626756282116e-03 
   13       7.118619468527e+02       7.802856634597e-08       1.522917824093e-03 
   14       7.054456552783e+02       7.832992790768e-08       1.416824668032e-03 
   15       7.062834875457e+02       7.841341699551e-08       1.333583897605e-03 
   16       7.137356983152e+02       7.831018154167e-08       1.271955778975e-03 
   17       7.219286589805e+02       7.804621344334e-08       1.217723298294e-03 
   18       7.276538940939e+02       7.760719736005e-08       1.154241080024e-03 
   19       7.319921512963e+02       7.712091801916e-08       1.083304435399e-03 
   20       7.368812060069e+02       7.648828399247e-08       1.013435522954e-03 
   21       7.427155454007e+02       7.577654893328e-08       9.535910110632e-04 
   22       7.493155958113e+02       7.496870781642e-08       9.105068615664e-04 
   23       7.575163208356e+02       7.411744741826e-08       8.801514513756e-04 
   24       7.680430372963e+02       7.318962670800e-08       8.516290685161e-04 
   25       7.796505521307e+02       7.222535438007e-08       8.201913035687e-04 
   26       7.908033500399e+02       7.121051553390e-08       7.828759574379e-04 
   27       8.034479509095e+02       7.016510596115e-08       7.415553821597e-04 
   28       8.202674680038e+02       6.906492608963e-08       6.999368537653e-04 
   29       8.409187367060e+02       6.796082865051e-08       6.606917524844e-04 
   30       8.637094143130e+02       6.686782698517e-08       6.261052415860e-04 
   31       8.867092254743e+02       6.573224793643e-08       5.978647778248e-04 
   32       9.092756792846e+02       6.458391311168e-08       5.752135941897e-04 
   33       9.310661471665e+02       6.344187183187e-08       5.554944620391e-04 
   34       9.518469744758e+02       6.228209661600e-08       5.353916896596e-04 
   35       9.722312359560e+02       6.112491965572e-08       5.149697734388e-04 
   36       9.932101688386e+02       5.997455272048e-08       4.954316041021e-04 
   37       1.015752748309e+03       5.880544796371e-08       4.779186740027e-04 
   38       1.040057813382e+03       5.764110272458e-08       4.627104691508e-04 
   39       1.066054306397e+03       5.650347216215e-08       4.496060961886e-04 
   40       1.093592869724e+03       5.538395118792e-08       4.380523342027e-04 
   41       1.122501064274e+03       5.425293418273e-08       4.272872469248e-04 
   42       1.152786866790e+03       5.312347808214e-08       4.170125346687e-04 
   43       1.184490059046e+03       5.201061499724e-08       4.069413972024e-04 
   44       1.217623535373e+03       5.090985959127e-08       3.965941101985e-04 
   45       1.252177899812e+03       4.980447474043e-08       3.854538965668e-04 
   46       1.288142765734e+03       4.870796078197e-08       3.735904006808e-04 
   47       1.325487587272e+03       4.763615586758e-08       3.612627370260e-04 
   48       1.364153095930e+03       4.659318320973e-08       3.487582793507e-04 
   49       1.404049218130e+03       4.556804813549e-08       3.363928051777e-04 
