# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       1.367998384545e+10       3.312978427541e+00       5.763316749279e+04 
    3       2.803092638787e+10       2.115186717532e+01       2.401630468150e+05 
    4       4.429219123541e+10       3.546314120475e+01       2.767084328010e+05 
    5       6.525900802439e+10       3.506082438708e+01       2.652408352136e+05 
    6       9.132943019681e+10       3.912435433748e+01       3.406937126690e+05 
    7       1.214728557841e+11       4.861572493518e+01       4.243371220361e+05 
    8       1.552656277661e+11       5.656334555695e+01       4.655354120964e+05 
    9       1.931497088815e+11       6.110068995802e+01       4.859708046512e+05 
   10       2.356268471400e+11       6.746070114736e+01       5.387992884859e+05 
   11       2.824326747910e+11       7.216393990852e+01       5.891573170497e+05 
   12       3.331891229323e+11       7.858376835204e+01       6.361578354464e+05 
   13       3.879680001181e+11       8.500642894744e+01       6.685237083949e+05 
   14       4.469884685704e+11       9.143112413194e+01       7.025732777319e+05 
   15       5.103470629945e+11       9.785707993987e+01       7.459281354388e+05 
   16       5.779207722058e+11       1.042835280134e+02       7.928270809424e+05 
   17       6.496591488182e+11       1.107094605288e+02       8.350207237106e+05 
   18       7.255176706131e+11       1.171082507254e+02       8.709713374002e+05 
   19       8.055377526325e+11       1.235547107494e+02       9.043018839915e+05 
   20       8.897932662574e+11       1.299672799383e+02       9.401271784838e+05 
   21       9.782824719252e+11       1.363833583083e+02       9.788944279407e+05 
   22       1.070974442626e+12       1.427792862477e+02       1.018286667550e+06 
   23       1.167851413401e+12       1.491860500696e+02       1.056412131102e+06 
   24       1.268901503681e+12       1.555688005240e+02       1.091259111479e+06 
   25       1.374134456140e+12       1.619526968696e+02       1.123212016224e+06 
   26       1.483567615195e+12       1.683177094147e+02       1.153552856509e+06 
   27       1.597211227491e+12       1.746737808923e+02       1.183047851054e+06 
   28       1.715071878096e+12       1.809921454991e+02       1.212178277368e+06 
   29       1.837147035979e+12       1.873147982522e+02       1.241152765798e+06 
   30       1.963429296997e+12       1.936491576109e+02       1.269839749894e+06 
   31       2.093911647046e+12       1.999372454008e+02       1.297864258544e+06 
   32       2.228600114786e+12       2.062057977693e+02       1.325206806550e+06 
   33       2.367505907303e+12       2.124693144202e+02       1.351807084165e+06 
   34       2.510638168885e+12       2.186972436923e+02       1.377471830789e+06 
   35       2.657989786358e+12       2.249087701744e+02       1.402262382908e+06 
   36       2.809546300085e+12       2.311042872108e+02       1.426230830848e+06 
   37       2.965293305523e+12       2.372505092041e+02       1.449348117581e+06 
   38       3.125230012974e+12       2.433742007899e+02       1.471701701806e+06 
   39       3.289360052567e+12       2.494999516528e+02       1.493344454911e+06 
   40       3.457687906222e+12       2.556135805736e+02       1.514214935496e+06 
   41       3.630218666601e+12       2.616741600194e+02       1.534190182030e+06 
   42       3.806957102119e+12       2.676979085835e+02       1.553343632775e+06 
   43       3.987908369836e+12       2.737028946621e+02       1.571765540516e+06 
   44       4.173078307530e+12       2.796790877906e+02       1.589479275865e+06 
   45       4.362472448175e+12       2.855990583282e+02       1.606467424866e+06 
   46       4.556092644529e+12       2.914823721018e+02       1.622803437851e+06 
   47       4.753939484159e+12       2.973523485940e+02       1.638550898787e+06 
