# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       2.457566956894e+03       5.338359045005e-08       2.592605419872e-03 
    3       2.406541840439e+03       6.805881570123e-08       2.817310629796e-03 
    4       2.326102790561e+03       8.000988583197e-08       2.879653945825e-03 
    5       2.250765537278e+03       9.000250353241e-08       2.869452274409e-03 
    6       2.187247375035e+03       9.848651102659e-08       2.821950658866e-03 
    7       2.134704507766e+03       1.058925345048e-07       2.754026640045e-03 
    8       2.091924249199e+03       1.125653790222e-07       2.677484005690e-03 
    9       2.057864721919e+03       1.186412581657e-07       2.599177835726e-03 
   10       2.029166713538e+03       1.242193041411e-07       2.523123280716e-03 
   11       2.003237141773e+03       1.272638240640e-07       2.469701249025e-03 
   12       1.980166368611e+03       1.319237119582e-07       2.391058640921e-03 
   13       1.960796851845e+03       1.361740729758e-07       2.322595085236e-03 
   14       1.945437284638e+03       1.400563085425e-07       2.245712540838e-03 
   15       1.934176886842e+03       1.436084643151e-07       2.180180138226e-03 
   16       1.925530779594e+03       1.468646380454e-07       2.122065522645e-03 
   17       1.917727756944e+03       1.498506522272e-07       2.068405089745e-03 
   18       1.910526422501e+03       1.525355042489e-07       2.013440801122e-03 
   19       1.904230755346e+03       1.551067792027e-07       1.959355212783e-03 
   20       1.898133988688e+03       1.574073408959e-07       1.908190733310e-03 
   21       1.892623610477e+03       1.595356761484e-07       1.860601642556e-03 
   22       1.887799668230e+03       1.614609912626e-07       1.813912910682e-03 
   23       1.883626115473e+03       1.632621602831e-07       1.767591466248e-03 
   24       1.879644702892e+03       1.648833502985e-07       1.720604785583e-03 
   25       1.876111896519e+03       1.663863938696e-07       1.675408478109e-03 
   26       1.873153273718e+03       1.677458565808e-07       1.634478065890e-03 
   27       1.870586945038e+03       1.689917789790e-07       1.597250503271e-03 
   28       1.867972901863e+03       1.700814916566e-07       1.561206184552e-03 
   29       1.865499486998e+03       1.710986862785e-07       1.526535051263e-03 
   30       1.863336354420e+03       1.720663505785e-07       1.493525190023e-03 
   31       1.861444202558e+03       1.728916336175e-07       1.461632031669e-03 
   32       1.859895413160e+03       1.736260930262e-07       1.430941032990e-03 
   33       1.858621001556e+03       1.743021918395e-07       1.401102644620e-03 
   34       1.857419349255e+03       1.748774241592e-07       1.371265519991e-03 
   35       1.856374219642e+03       1.753884533897e-07       1.341849098325e-03 
   36       1.855550019637e+03       1.758426635399e-07       1.313431815363e-03 
   37       1.854916807885e+03       1.761940472829e-07       1.286307544338e-03 
   38       1.854526667263e+03       1.764872054229e-07       1.260742423000e-03 
   39       1.854372878342e+03       1.767636858948e-07       1.236704724241e-03 
   40       1.854327532175e+03       1.770077327845e-07       1.213699375307e-03 
   41       1.854220289426e+03       1.771641287124e-07       1.191003198447e-03 
   42       1.854133984943e+03       1.772592728038e-07       1.168735140411e-03 
   43       1.854185303424e+03       1.773228312613e-07       1.147151571432e-03 
   44       1.854436953193e+03       1.773459324247e-07       1.126332922667e-03 
   45       1.854912553572e+03       1.772956269236e-07       1.106235794727e-03 
   46       1.855659875358e+03       1.772004773885e-07       1.086966562171e-03 
   47       1.856696927139e+03       1.770938342753e-07       1.068567291824e-03 
   48       1.857988743260e+03       1.769850327171e-07       1.050912653350e-03 
   49       1.859442933908e+03       1.768520457787e-07       1.033682370728e-03 
   50       1.860955610571e+03       1.766557591997e-07       1.016487171959e-03 
   51       1.862574182362e+03       1.764129072598e-07       9.993782173608e-04 
   52       1.864371056966e+03       1.761474932938e-07       9.824921256168e-04 
   53       1.866395097459e+03       1.758677656915e-07       9.659033728000e-04 
   54       1.868669542999e+03       1.755618579745e-07       9.496133700787e-04 
   55       1.871202399274e+03       1.752078813645e-07       9.335891389491e-04 
   56       1.874025396048e+03       1.748221602924e-07       9.179237812599e-04 
   57       1.877161065433e+03       1.744259115902e-07       9.027148999683e-04 
   58       1.880609561257e+03       1.740299260009e-07       8.880127322689e-04 
   59       1.884347065588e+03       1.736318651607e-07       8.738128648509e-04 
   60       1.888324195262e+03       1.732133106481e-07       8.600486315195e-04 
   61       1.892489549841e+03       1.727495812637e-07       8.466290640898e-04 
   62       1.896870136909e+03       1.722522794146e-07       8.335864621686e-04 
   63       1.901506253608e+03       1.717397756663e-07       8.209640627393e-04 
   64       1.906427158179e+03       1.712244119909e-07       8.087701363538e-04 
   65       1.911650274206e+03       1.707109929281e-07       7.969734470646e-04 
   66       1.917180394864e+03       1.701951492825e-07       7.854985367183e-04 
   67       1.923008887161e+03       1.696615702855e-07       7.742208336142e-04 
   68       1.929124267246e+03       1.690916106299e-07       7.630109976252e-04 
   69       1.935548193382e+03       1.684943201206e-07       7.518954810556e-04 
   70       1.942305370080e+03       1.678843488030e-07       7.409353476436e-04 
   71       1.949412326442e+03       1.672727108929e-07       7.301793717296e-04 
   72       1.956876911226e+03       1.666659325674e-07       7.196622814324e-04 
   73       1.964697787915e+03       1.660651343082e-07       7.094029368844e-04 
   74       1.972863929775e+03       1.654650459031e-07       6.994024435245e-04 
   75       1.981354114927e+03       1.648529522122e-07       6.896422004507e-04 
   76       1.990147327797e+03       1.642143584860e-07       6.800972240442e-04 
   77       1.999257269432e+03       1.635550608771e-07       6.707849630912e-04 
   78       2.008703252186e+03       1.628849564801e-07       6.617260949070e-04 
   79       2.018499574866e+03       1.622114651587e-07       6.529291141139e-04 
   80       2.028655241450e+03       1.615390256663e-07       6.443890493421e-04 
   81       2.039173679792e+03       1.608685572840e-07       6.360861396603e-04 
   82       2.050052460332e+03       1.601968860815e-07       6.279844707375e-04 
   83       2.061283014805e+03       1.595161349074e-07       6.200305707362e-04 
   84       2.072856744581e+03       1.588175413612e-07       6.121713382401e-04 
   85       2.084785125349e+03       1.581058892633e-07       6.044162422842e-04 
   86       2.097082435127e+03       1.573886086763e-07       5.967878688550e-04 
   87       2.109759489628e+03       1.566714265617e-07       5.893033265876e-04 
   88       2.122823468355e+03       1.559580558102e-07       5.819736643216e-04 
   89       2.136277740702e+03       1.552498650236e-07       5.748032715077e-04 
   90       2.150121692051e+03       1.545455285925e-07       5.677892614627e-04 
   91       2.164350549868e+03       1.538406566196e-07       5.609208374757e-04 
   92       2.178955209804e+03       1.531274042341e-07       5.541786417625e-04 
   93       2.193926987099e+03       1.523977433793e-07       5.475433460766e-04 
   94       2.209273065975e+03       1.516553612362e-07       5.410251449488e-04 
   95       2.225003063115e+03       1.509065357460e-07       5.346396539868e-04 
   96       2.241124204527e+03       1.501565961524e-07       5.283989024129e-04 
   97       2.257641219248e+03       1.494097523217e-07       5.223109938668e-04 
   98       2.274556233048e+03       1.486689143080e-07       5.163797582142e-04 
   99       2.291868662141e+03       1.479355019505e-07       5.106043943611e-04 
  100       2.309575106891e+03       1.472092442959e-07       5.049791040732e-04 
  101       2.327669245516e+03       1.464879686340e-07       4.994927168012e-04 
  102       2.346141727798e+03       1.457673789369e-07       4.941283055115e-04 
  103       2.364980068788e+03       1.450408234927e-07       4.888627935228e-04 
  104       2.384172869798e+03       1.443017932068e-07       4.836739835046e-04 
  105       2.403723359713e+03       1.435527437513e-07       4.785641628978e-04 
  106       2.423637493266e+03       1.427981778691e-07       4.735405170207e-04 
