# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       7.585477491970e+02       4.794624977306e-08       3.211217264860e-03 
    3       6.990853001402e+02       5.992837550445e-08       3.187707439909e-03 
    4       6.502192378106e+02       6.970448371730e-08       3.102425455840e-03 
    5       6.157340736219e+02       7.816898300676e-08       2.997579313579e-03 
    6       5.935338150918e+02       8.552884592369e-08       2.885366731296e-03 
    7       5.808692341175e+02       9.197722780614e-08       2.771891419431e-03 
    8       5.755421923190e+02       9.772616436813e-08       2.660914686170e-03 
    9       5.758920002387e+02       1.029334368224e-07       2.554720606446e-03 
   10       5.804833623941e+02       1.076618575812e-07       2.454526613955e-03 
   11       5.884898419044e+02       1.087257363226e-07       2.365915535747e-03 
   12       5.990801752828e+02       1.123261914735e-07       2.274011795842e-03 
   13       6.116773133170e+02       1.155570367085e-07       2.193105775895e-03 
   14       6.256584548666e+02       1.184586781572e-07       2.112092110887e-03 
   15       6.410262711105e+02       1.210652753650e-07       2.039544673261e-03 
   16       6.574457236690e+02       1.234075167551e-07       1.973010284544e-03 
   17       6.746654476464e+02       1.255112472855e-07       1.910497682125e-03 
   18       6.924917258122e+02       1.273494062765e-07       1.849797550878e-03 
   19       7.109476222702e+02       1.290889090580e-07       1.792660783419e-03 
   20       7.298699240279e+02       1.305921147211e-07       1.738171904894e-03 
   21       7.492773373075e+02       1.319449701447e-07       1.686445652585e-03 
   22       7.690948328795e+02       1.331231221310e-07       1.635528813500e-03 
   23       7.892833091628e+02       1.341956152605e-07       1.585971498163e-03 
   24       8.097271985822e+02       1.351148351591e-07       1.537905186916e-03 
   25       8.304727281340e+02       1.359344415822e-07       1.492900331114e-03 
   26       8.515266232565e+02       1.366331809312e-07       1.451724655781e-03 
   27       8.727904749709e+02       1.372375498538e-07       1.413411585490e-03 
   28       8.941021913071e+02       1.377118289590e-07       1.375631458432e-03 
   29       9.155106848899e+02       1.381280706895e-07       1.338987136752e-03 
   30       9.370882423323e+02       1.385064363653e-07       1.304501352404e-03 
   31       9.588594049082e+02       1.387681315068e-07       1.272446876015e-03 
   32       9.808347251457e+02       1.389572707161e-07       1.242651816448e-03 
   33       1.002976515438e+03       1.391017506613e-07       1.213991559313e-03 
   34       1.025218839101e+03       1.391657147388e-07       1.184794136324e-03 
   35       1.047593360882e+03       1.391805329820e-07       1.155473211943e-03 
   36       1.070139506705e+03       1.391529035096e-07       1.126984626786e-03 
   37       1.092870736577e+03       1.390443320007e-07       1.100069751523e-03 
   38       1.115785548464e+03       1.388926301618e-07       1.075022363990e-03 
   39       1.138854003968e+03       1.387329948949e-07       1.051704278991e-03 
   40       1.162010307157e+03       1.385523425212e-07       1.029502200481e-03 
   41       1.185181576482e+03       1.383043502081e-07       1.007585271555e-03 
   42       1.208393825820e+03       1.380112664818e-07       9.860538870603e-04 
   43       1.231694601975e+03       1.376981410660e-07       9.651954043103e-04 
   44       1.255122442883e+03       1.373577798717e-07       9.451578127365e-04 
   45       1.278704004913e+03       1.369628231658e-07       9.259772004927e-04 
   46       1.302447435826e+03       1.365371363893e-07       9.077491372136e-04 
   47       1.326344844096e+03       1.361085490221e-07       8.904819194007e-04 
   48       1.350372384428e+03       1.356848804397e-07       8.740217354701e-04 
   49       1.374488886488e+03       1.352478630719e-07       8.580266528399e-04 
   50       1.398652583449e+03       1.347650134496e-07       8.420950439815e-04 
   51       1.422879832049e+03       1.342501899218e-07       8.262796935620e-04 
   52       1.447199961117e+03       1.337233120787e-07       8.107328594515e-04 
   53       1.471638057664e+03       1.331912935826e-07       7.955599430197e-04 
   54       1.496214447376e+03       1.326444696034e-07       7.808106865684e-04 
   55       1.520944355393e+03       1.320648966238e-07       7.664989654629e-04 
   56       1.545837980123e+03       1.314659823171e-07       7.526929838960e-04 
   57       1.570899527807e+03       1.308651334530e-07       7.394420109866e-04 
   58       1.596126532511e+03       1.302711920788e-07       7.267433599429e-04 
   59       1.621509343643e+03       1.296822357303e-07       7.145350575411e-04 
   60       1.647030613472e+03       1.290831767314e-07       7.026882027759e-04 
   61       1.672672940620e+03       1.284537903780e-07       6.910559130138e-04 
   62       1.698444964788e+03       1.278034732331e-07       6.796583247143e-04 
   63       1.724360246523e+03       1.271471535192e-07       6.685452968031e-04 
   64       1.750429379412e+03       1.264948567801e-07       6.577415928583e-04 
   65       1.776659736390e+03       1.258504918092e-07       6.472434540952e-04 
   66       1.803055216037e+03       1.252105344866e-07       6.370150376602e-04 
