# Matter power spectrum P(k) at redshift z=0
# for k=1.0455e-05 to 0.630534 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045502190352e-05       9.767253164121e+05 
       2.345441606625e-05       8.889129455232e+04 
       3.650012048881e-05       2.546379824181e+04 
       4.962788504237e-05       1.140723502473e+04 
       6.287405951073e-05       6.520745827327e+03 
       7.627592367555e-05       4.352233213345e+03 
       8.987202811233e-05       3.235518636450e+03 
       1.037025503081e-04       2.597301732246e+03 
       1.178096707459e-04       2.206816813441e+03 
       1.322379736369e-04       1.958080013846e+03 
       1.470348769806e-04       1.796231609501e+03 
       1.622510965668e-04       1.690754390667e+03 
       1.779411483237e-04       1.623916105888e+03 
       1.941638930002e-04       1.584861958640e+03 
       2.109831264269e-04       1.566552470526e+03 
       2.284682173870e-04       1.564472324947e+03 
       2.466947932597e-04       1.576337624870e+03 
       2.657454708177e-04       1.599311328751e+03 
       2.857106255763e-04       1.632047736484e+03 
       3.066891875273e-04       1.673771883822e+03 
       3.287894435280e-04       1.723699886616e+03 
       3.521298166163e-04       1.782148046060e+03 
       3.768395796892e-04       1.848295002969e+03 
       4.030594450627e-04       1.922425301988e+03 
       4.309419525431e-04       2.004657043072e+03 
       4.606515574819e-04       2.095385755980e+03 
       4.923642985711e-04       2.194871324955e+03 
       5.262669059450e-04       2.303556817904e+03 
       5.625551983808e-04       2.421858106330e+03 
       6.014316208227e-04       2.550313241619e+03 
       6.431017984332e-04       2.689440126439e+03 
       6.877700394195e-04       2.839754860702e+03 
       7.356338121204e-04       3.001797199690e+03 
       7.868773522801e-04       3.175851540706e+03 
       8.416647137348e-04       3.362283221452e+03 
       9.001327364924e-04       3.561307759397e+03 
       9.623845349426e-04       3.772958408724e+03 
       1.028484165185e-03       3.997097597455e+03 
       1.098453081357e-03       4.233698590209e+03 
       1.172268825680e-03       4.481922357114e+03 
       1.249866136926e-03       4.741420595095e+03 
       1.331140358256e-03       5.011429057704e+03 
       1.415952744549e-03       5.291266452184e+03 
       1.504137071098e-03       5.579691997238e+03 
       1.595506863749e-03       5.875639409862e+03 
       1.689862605035e-03       6.178623575234e+03 
       1.786998393189e-03       6.486954741500e+03 
       1.886707698737e-03       6.800414916897e+03 
       1.988788035531e-03       7.117496851367e+03 
       2.093044510005e-03       7.437042905872e+03 
       2.199292319381e-03       7.759283417973e+03 
       2.307358334374e-03       8.082707349619e+03 
       2.417081930918e-03       8.406217023855e+03 
       2.528315238079e-03       8.730196142398e+03 
       2.640922955419e-03       9.053759085032e+03 
       2.754781870813e-03       9.376190096006e+03 
       2.869780184702e-03       9.697161544924e+03 
       2.985816722790e-03       1.001606445266e+04 
       3.102800098040e-03       1.033272481714e+04 
       3.220647865302e-03       1.064701683535e+04 
       3.339285698042e-03       1.095861788305e+04 
       3.458646606030e-03       1.126765300840e+04 
       3.578670205040e-03       1.157306672352e+04 
       3.699302043992e-03       1.187493663161e+04 
       3.820492991104e-03       1.217327677679e+04 
       3.942198678025e-03       1.246878144875e+04 
       4.064378999279e-03       1.275957394222e+04 
       4.186997663430e-03       1.304715115629e+04 
       4.310021791847e-03       1.333093494038e+04 
       4.433421560840e-03       1.361000178835e+04 
