# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       1.010109414792e+03       5.227065761455e-08       3.309519758082e-03 
    3       9.416953970767e+02       6.529651515362e-08       3.325057425112e-03 
    4       8.767306937114e+02       7.591326363903e-08       3.258018342193e-03 
    5       8.252287189091e+02       8.509908545523e-08       3.161109172557e-03 
    6       7.867061573043e+02       9.308554997423e-08       3.051110804500e-03 
    7       7.587719665776e+02       1.000836302888e-07       2.936317647259e-03 
    8       7.392460210782e+02       1.063206499865e-07       2.821903619360e-03 
    9       7.263406858994e+02       1.119660796047e-07       2.711058245482e-03 
   10       7.184858043754e+02       1.170894608395e-07       2.605561064871e-03 
   11       7.147699229402e+02       1.182452742528e-07       2.510430467709e-03 
   12       7.142436267701e+02       1.221489446399e-07       2.411892726899e-03 
   13       7.162424913327e+02       1.256518871280e-07       2.325596968516e-03 
   14       7.200804161769e+02       1.287978662741e-07       2.238641778760e-03 
   15       7.257432532694e+02       1.316241490692e-07       2.161304272847e-03 
   16       7.328243491728e+02       1.341640885269e-07       2.090567113396e-03 
   17       7.410008712444e+02       1.364456892372e-07       2.024137418686e-03 
   18       7.501152447525e+02       1.384394297779e-07       1.959642598288e-03 
   19       7.602175725586e+02       1.403268312687e-07       1.898937935289e-03 
   20       7.710459700441e+02       1.419581456999e-07       1.841078717303e-03 
   21       7.826395335061e+02       1.434267948936e-07       1.786145073665e-03 
   22       7.949176140140e+02       1.447061890443e-07       1.731990200789e-03 
   23       8.078343092497e+02       1.458713716750e-07       1.679170001805e-03 
   24       8.212304424584e+02       1.468705303386e-07       1.627823944237e-03 
   25       8.351779642049e+02       1.477619750164e-07       1.579648413170e-03 
   26       8.496981598803e+02       1.485225450279e-07       1.535515443482e-03 
   27       8.646790587520e+02       1.491810248742e-07       1.494471176987e-03 
   28       8.799201166188e+02       1.496985554684e-07       1.454115561498e-03 
   29       8.954824068242e+02       1.501534355021e-07       1.415066548815e-03 
   30       9.114456804094e+02       1.505675307863e-07       1.378333424850e-03 
   31       9.278230855682e+02       1.508551120171e-07       1.344119724392e-03 
   32       9.446296513022e+02       1.510641037797e-07       1.312251097724e-03 
   33       9.618222667471e+02       1.512248188286e-07       1.281586389174e-03 
   34       9.793180832345e+02       1.512982679791e-07       1.250408519569e-03 
   35       9.971534734311e+02       1.513185272790e-07       1.219152239876e-03 
   36       1.015370270270e+03       1.512928488866e-07       1.188800634902e-03 
   37       1.033976822796e+03       1.511793593940e-07       1.160105764619e-03 
   38       1.052975016732e+03       1.510191350691e-07       1.133374352659e-03 
   39       1.072334544221e+03       1.508504144757e-07       1.108465891304e-03 
   40       1.091980218175e+03       1.506589609122e-07       1.084739280327e-03 
   41       1.111825393136e+03       1.503944107659e-07       1.061323691247e-03 
   42       1.131895547766e+03       1.500809282977e-07       1.038327473537e-03 
   43       1.152237766325e+03       1.497457227249e-07       1.016054550998e-03 
