# Matter power spectrum P(k) at redshift z=0
# for k=1.0455e-05 to 0.630534 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045502190352e-05       5.248985479284e+01 
       2.345441606625e-05       1.141828637612e+02 
       3.650012048881e-05       1.747206754712e+02 
       4.962788504237e-05       2.347901360241e+02 
       6.287405951073e-05       2.947779017548e+02 
       7.627592367555e-05       3.549716268948e+02 
       8.987202811233e-05       4.156160553518e+02 
       1.037025503081e-04       4.769359032135e+02 
       1.178096707459e-04       5.391475682157e+02 
       1.322379736369e-04       6.024661727683e+02 
       1.470348769806e-04       6.671104480704e+02 
       1.622510965668e-04       7.333065101313e+02 
       1.779411483237e-04       8.012910832768e+02 
       1.941638930002e-04       8.713144210744e+02 
       2.109831264269e-04       9.436431180460e+02 
       2.284682173870e-04       1.018562862677e+03 
       2.466947932597e-04       1.096381206849e+03 
       2.657454708177e-04       1.177430346768e+03 
       2.857106255763e-04       1.262069889809e+03 
       3.066891875273e-04       1.350689572105e+03 
       3.287894435280e-04       1.443711826416e+03 
       3.521298166163e-04       1.541594051285e+03 
       3.768395796892e-04       1.644830404617e+03 
       4.030594450627e-04       1.753952884363e+03 
       4.309419525431e-04       1.869531279139e+03 
       4.606515574819e-04       1.992171708902e+03 
       4.923642985711e-04       2.122513190040e+03 
       5.262669059450e-04       2.261221633862e+03 
       5.625551983808e-04       2.408980929138e+03 
       6.014316208227e-04       2.566480358049e+03 
       6.431017984332e-04       2.734398109748e+03 
       6.877700394195e-04       2.913381018183e+03 
       7.356338121204e-04       3.104020325400e+03 
       7.868773522801e-04       3.306825161111e+03 
       8.416647137348e-04       3.522194398450e+03 
       9.001327364924e-04       3.750389948120e+03 
       9.623845349426e-04       3.991513108415e+03 
       1.028484165185e-03       4.245487292466e+03 
       1.098453081357e-03       4.512049769246e+03 
       1.172268825680e-03       4.790752386022e+03 
       1.249866136926e-03       5.080974421625e+03 
       1.331140358256e-03       5.381942740583e+03 
       1.415952744549e-03       5.692730119126e+03 
       1.504137071098e-03       6.012366458338e+03 
       1.595506863749e-03       6.339819765684e+03 
       1.689862605035e-03       6.674022305726e+03 
       1.786998393189e-03       7.013910325666e+03 
       1.886707698737e-03       7.358447320330e+03 
       1.988788035531e-03       7.706642754880e+03 
       2.093044510005e-03       8.057564742217e+03 
