# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       1.109951529043e+03       5.231725440273e-08       3.253351153050e-03 
    3       1.046894257607e+03       6.538282955525e-08       3.287510439720e-03 
    4       9.849511522391e+02       7.603616264453e-08       3.231925140234e-03 
    5       9.361247669257e+02       8.525543068447e-08       3.142614995419e-03 
    6       9.004595446238e+02       9.327326440629e-08       3.038266505132e-03 
    7       8.756626024364e+02       1.003018317444e-07       2.927998011194e-03 
    8       8.594589222502e+02       1.065692144605e-07       2.817227251831e-03 
    9       8.499647653330e+02       1.122448694977e-07       2.709199124329e-03 
   10       8.455740502913e+02       1.173978474514e-07       2.605861893586e-03 
   11       8.453688239635e+02       1.185447179343e-07       2.515291573066e-03 
   12       8.483680374480e+02       1.224719021209e-07       2.417623661830e-03 
   13       8.537754414175e+02       1.259975726939e-07       2.332784534676e-03 
   14       8.607986136855e+02       1.291656995394e-07       2.246184891835e-03 
   15       8.694443306714e+02       1.320134823575e-07       2.169425655096e-03 
   16       8.793224342638e+02       1.345742768450e-07       2.099479752152e-03 
   17       8.900395630726e+02       1.368761587177e-07       2.033967700465e-03 
   18       9.014584409132e+02       1.388895150997e-07       1.970183145972e-03 
   19       9.136505445099e+02       1.407962727783e-07       1.909943121741e-03 
   20       9.263181962156e+02       1.424462604618e-07       1.852483783758e-03 
   21       9.395242696982e+02       1.439330919010e-07       1.797964639963e-03 
   22       9.531995556847e+02       1.452301533836e-07       1.744259188870e-03 
   23       9.672915040187e+02       1.464126377235e-07       1.691802099192e-03 
   24       9.816133010755e+02       1.474285606081e-07       1.640572546925e-03 
   25       9.962672414332e+02       1.483363512559e-07       1.592391518119e-03 
   26       1.011302304302e+03       1.491127849428e-07       1.548365437853e-03 
   27       1.026589440692e+03       1.497866944304e-07       1.507552250747e-03 
   28       1.041890172812e+03       1.503190958267e-07       1.467473107154e-03 
   29       1.057279874742e+03       1.507884825870e-07       1.428705437986e-03 
   30       1.072858836463e+03       1.512167806356e-07       1.392216598189e-03 
   31       1.088649702721e+03       1.515180468751e-07       1.358162696810e-03 
   32       1.104674811724e+03       1.517403324582e-07       1.326375776874e-03 
   33       1.120887382299e+03       1.519140163669e-07       1.295746010272e-03 
   34       1.137193567024e+03       1.519999836025e-07       1.264593660313e-03 
   35       1.153638499596e+03       1.520324017388e-07       1.233373186378e-03 
   36       1.170272794945e+03       1.520185412729e-07       1.203082645428e-03 
   37       1.187108266277e+03       1.519164078936e-07       1.174485723697e-03 
   38       1.204154712473e+03       1.517672000762e-07       1.147882080706e-03 
   39       1.221386138588e+03       1.516092680807e-07       1.123112366155e-03 
   40       1.238724426656e+03       1.514283274334e-07       1.099506981201e-03 
   41       1.256077180820e+03       1.511738570345e-07       1.076165650497e-03 
   42       1.273478248418e+03       1.508700977007e-07       1.053201328855e-03 
   43       1.290984423087e+03       1.505443441124e-07       1.030935981344e-03 
   44       1.308634411999e+03       1.501887347734e-07       1.009548621031e-03 
   45       1.326450420360e+03       1.497734219310e-07       9.890990921250e-04 
   46       1.344448456587e+03       1.493244178135e-07       9.696896048853e-04 
   47       1.362627508266e+03       1.488720586109e-07       9.513212584580e-04 
   48       1.380964255276e+03       1.484248611647e-07       9.338193246744e-04 
   49       1.399411166735e+03       1.479628952580e-07       9.168051594686e-04 
   50       1.417917681894e+03       1.474507291018e-07       8.998360810474e-04 
   51       1.436504945802e+03       1.469034706530e-07       8.829646936897e-04 
   52       1.455208070251e+03       1.463428380543e-07       8.663531246899e-04 
   53       1.474054025465e+03       1.457763645077e-07       8.501141389998e-04 
   54       1.493060823360e+03       1.451935008483e-07       8.343018287861e-04 
   55       1.512239835455e+03       1.445746689389e-07       8.189331911381e-04 
   56       1.531605292048e+03       1.439344912025e-07       8.040857429607e-04 
   57       1.551165712238e+03       1.432919531688e-07       7.898186264957e-04 
   58       1.570920296501e+03       1.426566976260e-07       7.761371819437e-04 
   59       1.590858232073e+03       1.420266242129e-07       7.629852718219e-04 
   60       1.610957998321e+03       1.413852697414e-07       7.502372786924e-04 
   61       1.631197524659e+03       1.407105672372e-07       7.377476373021e-04 
   62       1.651588900062e+03       1.400127696937e-07       7.255387127640e-04 
   63       1.672150257317e+03       1.393081657989e-07       7.136609176402e-04 
   64       1.692895264630e+03       1.386076946282e-07       7.021366928196e-04 
   65       1.713832775357e+03       1.379156203430e-07       6.909567381759e-04 
   66       1.734966477721e+03       1.372280954237e-07       6.800760957129e-04 
   67       1.756294544532e+03       1.365316088855e-07       6.694100851970e-04 
   68       1.777813708619e+03       1.358096907130e-07       6.588685361496e-04 
   69       1.799533231013e+03       1.350702427795e-07       6.484804277802e-04 
   70       1.821463146830e+03       1.343260900221e-07       6.382993157158e-04 
   71       1.843609857159e+03       1.335868558335e-07       6.283665397293e-04 
   72       1.865975891963e+03       1.328582211388e-07       6.187095437925e-04 
   73       1.888559672999e+03       1.321411268568e-07       6.093401347406e-04 
   74       1.911355276724e+03       1.314309181128e-07       6.002526795477e-04 
   75       1.934352197205e+03       1.307164285696e-07       5.914222412127e-04 
   76       1.957540108920e+03       1.299849285790e-07       5.828182347506e-04 
   77       1.980924681931e+03       1.292413885670e-07       5.744541374825e-04 
   78       2.004514233335e+03       1.284943581040e-07       5.663478004929e-04 
   79       2.028314850847e+03       1.277502325306e-07       5.585059315384e-04 
   80       2.052330258234e+03       1.270128204478e-07       5.509229326633e-04 
   81       2.076561680755e+03       1.262828817650e-07       5.435797014875e-04 
   82       2.101007710596e+03       1.255576355415e-07       5.364423961646e-04 
   83       2.125664172307e+03       1.248302368631e-07       5.294611640124e-04 
   84       2.150526828777e+03       1.240930688861e-07       5.225863431669e-04 
   85       2.175600309319e+03       1.233501791140e-07       5.158246789460e-04 
   86       2.200890421837e+03       1.226078919778e-07       5.091946239971e-04 
   87       2.226401358350e+03       1.218710653569e-07       5.027095301106e-04 
   88       2.252135608169e+03       1.211428266426e-07       4.963771198373e-04 
   89       2.278093871071e+03       1.204242925544e-07       4.901989426735e-04 
   90       2.304274970482e+03       1.197142723302e-07       4.841698158117e-04 
   91       2.330675766653e+03       1.190089539063e-07       4.782772494598e-04 
   92       2.357291069833e+03       1.183015727101e-07       4.725008567261e-04 
   93       2.384115713600e+03       1.175852025022e-07       4.668204316237e-04 
   94       2.411151320105e+03       1.168628996972e-07       4.612436316681e-04 
   95       2.438400396526e+03       1.161399280880e-07       4.557833960603e-04 
   96       2.465864209181e+03       1.154207444013e-07       4.504495209491e-04 
   97       2.493542726356e+03       1.147088555831e-07       4.452483650476e-04 
   98       2.521434561136e+03       1.140066679745e-07       4.401825474654e-04 
   99       2.549536914230e+03       1.133153282047e-07       4.352506377580e-04 
  100       2.577845516808e+03       1.126345556278e-07       4.304468381906e-04 
  101       2.606354573324e+03       1.119624661286e-07       4.257606582194e-04 
  102       2.635056704351e+03       1.112953871241e-07       4.211765811883e-04 
  103       2.663942889405e+03       1.106276635866e-07       4.166737232416e-04 
  104       2.693004579098e+03       1.099537568054e-07       4.122323158841e-04 
  105       2.722240479665e+03       1.092756526887e-07       4.078554276565e-04 
  106       2.751650582610e+03       1.085970551467e-07       4.035509797900e-04 
  107       2.781234044299e+03       1.079211814465e-07       3.993251568625e-04 
  108       2.810989152631e+03       1.072506843290e-07       3.951822606274e-04 
  109       2.840913293700e+03       1.065875701496e-07       3.911245603684e-04 
  110       2.871002918473e+03       1.059331129663e-07       3.871521397805e-04 
  111       2.901253509448e+03       1.052877644989e-07       3.832627403786e-04 
  112       2.931659547328e+03       1.046510598825e-07       3.794516014305e-04 
  113       2.962214477690e+03       1.040215191390e-07       3.757112964186e-04 
  114       2.992910677649e+03       1.033965442892e-07       3.720315660257e-04 
  115       3.023739422530e+03       1.027723120298e-07       3.683991476495e-04 
  116       3.054692220594e+03       1.021451801950e-07       3.648018638685e-04 
  117       3.085765072571e+03       1.015165486737e-07       3.612421179617e-04 
  118       3.116954669829e+03       1.008889595914e-07       3.577255269603e-04 
  119       3.148257051641e+03       1.002646381294e-07       3.542568056248e-04 
  120       3.179667583955e+03       9.964544803873e-08       3.508396955345e-04 
  121       3.211180938157e+03       9.903284512504e-08       3.474768926456e-04 
