# Matter power spectrum P(k) at redshift z=0
# for k=1.0455e-05 to 0.630534 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045502190352e-05       1.941121531932e+02 
       2.345441606625e-05       1.566514763486e+02 
       3.650012048881e-05       1.995693707483e+02 
       4.962788504237e-05       2.529574657521e+02 
       6.287405951073e-05       3.080554408116e+02 
       7.627592367555e-05       3.660962556591e+02 
       8.987202811233e-05       4.249637053561e+02 
       1.037025503081e-04       4.847854663954e+02 
       1.178096707459e-04       5.460458402187e+02 
       1.322379736369e-04       6.085541080088e+02 
       1.470348769806e-04       6.724066385921e+02 
       1.622510965668e-04       7.379692641328e+02 
       1.779411483237e-04       8.053896983590e+02 
       1.941638930002e-04       8.749564284453e+02 
       2.109831264269e-04       9.468831467912e+02 
       2.284682173870e-04       1.021524075945e+03 
       2.466947932597e-04       1.099002606998e+03 
       2.657454708177e-04       1.179698010358e+03 
       2.857106255763e-04       1.263982624833e+03 
       3.066891875273e-04       1.352332834367e+03 
       3.287894435280e-04       1.445150314658e+03 
       3.521298166163e-04       1.542721297138e+03 
       3.768395796892e-04       1.645720695113e+03 
       4.030594450627e-04       1.754624836039e+03 
       4.309419525431e-04       1.869997108762e+03 
       4.606515574819e-04       1.992409196380e+03 
       4.923642985711e-04       2.122531795301e+03 
       5.262669059450e-04       2.261011079153e+03 
       5.625551983808e-04       2.408559352943e+03 
       6.014316208227e-04       2.565846658570e+03 
       6.431017984332e-04       2.733554632448e+03 
       6.877700394195e-04       2.912326974334e+03 
       7.356338121204e-04       3.102728558037e+03 
       7.868773522801e-04       3.305313516222e+03 
       8.416647137348e-04       3.520461791002e+03 
       9.001327364924e-04       3.748436340542e+03 
       9.623845349426e-04       3.989352047212e+03 
       1.028484165185e-03       4.243125502764e+03 
       1.098453081357e-03       4.509430322536e+03 
       1.172268825680e-03       4.787900013141e+03 
       1.249866136926e-03       5.077969704975e+03 
       1.331140358256e-03       5.378681459552e+03 
       1.415952744549e-03       5.689712975790e+03 
       1.504137071098e-03       6.009780355392e+03 
       1.595506863749e-03       6.337671532039e+03 
       1.689862605035e-03       6.672138192274e+03 
       1.786998393189e-03       7.012387885737e+03 
       1.886707698737e-03       7.357138982009e+03 
       1.988788035531e-03       7.705654485470e+03 
       2.093044510005e-03       8.056908310822e+03 
       2.199292319381e-03       8.409895445194e+03 
       2.307358334374e-03       8.764042334617e+03 
       2.417081930918e-03       9.118580647302e+03 
       2.528315238079e-03       9.472730031974e+03 
       2.640922955419e-03       9.826044541559e+03 
       2.754781870813e-03       1.017795893255e+04 
       2.869780184702e-03       1.052801749389e+04 
       2.985816722790e-03       1.087592226220e+04 
       3.102800098040e-03       1.122126827395e+04 
       3.220647865302e-03       1.156367451895e+04 
       3.339285698042e-03       1.190286016843e+04 
       3.458646606030e-03       1.223869066342e+04 
       3.578670205040e-03       1.257097535028e+04 
       3.699302043992e-03       1.289937452450e+04 
       3.820492991104e-03       1.322412094510e+04 
       3.942198678025e-03       1.354447387515e+04 
       4.064378999279e-03       1.386109802688e+04 
       4.186997663430e-03       1.417344934099e+04 
       4.310021791847e-03       1.448123357612e+04 
       4.433421560840e-03       1.478537054661e+04 
       4.557169882967e-03       1.508438434911e+04 
       4.681242123494e-03       1.537915061891e+04 
       4.805615848282e-03       1.566968262517e+04 
       4.930270599643e-03       1.595549531161e+04 
       5.055187697032e-03       1.623709355331e+04 
       5.180350059777e-03       1.651404645502e+04 
       5.305742049301e-03       1.678641942645e+04 
       5.431349328599e-03       1.705484718592e+04 
       5.557158736975e-03       1.731831400399e+04 
       5.683158178278e-03       1.757772645520e+04 
       5.809336521071e-03       1.783251946346e+04 
       5.935683509363e-03       1.808280263782e+04 
       6.062189682703e-03       1.832907873709e+04 
       6.188846304553e-03       1.857088207038e+04 
       6.315645298016e-03       1.880827210388e+04 
       6.442579188090e-03       1.904141295418e+04 
       6.569641049711e-03       1.927048045195e+04 
       6.696824460961e-03       1.949526472312e+04 
       6.824123460868e-03       1.971581181760e+04 
       6.951532511286e-03       1.993229323438e+04 
       7.079046462449e-03       2.014472269445e+04 
       7.206660521771e-03       2.035290723716e+04 
       7.334370225578e-03       2.055719513439e+04 
       7.462171413454e-03       2.075645546510e+04 
       7.590060204930e-03       2.095271091075e+04 
       7.718032978284e-03       2.114506560598e+04 
       7.846086351238e-03       2.133362761285e+04 
       7.974217163351e-03       2.151827288907e+04 
       8.102422459961e-03       2.169914973360e+04 
       8.230699477505e-03       2.187626052989e+04 
       8.359045630096e-03       2.204981608677e+04 
       8.487458497233e-03       2.221955042416e+04 
       8.615935812535e-03       2.238562003179e+04 
       8.744475453410e-03       2.254812913701e+04 
       8.873075431567e-03       2.270710429905e+04 
       9.001733884290e-03       2.286258548767e+04 
       9.130449066420e-03       2.301457089827e+04 
       9.259219342965e-03       2.316302695806e+04 
       9.388043182294e-03       2.330811636338e+04 
       9.516919149855e-03       2.344982011600e+04 
       9.645845902385e-03       2.358808145132e+04 
       9.774822182556e-03       2.372319555424e+04 
       9.903846814025e-03       2.385501039952e+04 
       1.003291869686e-02       2.398370235540e+04 
       1.016203680330e-02       2.410913885898e+04 
       1.029120017384e-02       2.423144056776e+04 
       1.042040791358e-02       2.435055933458e+04 
       1.054965918888e-02       2.446648452177e+04 
       1.067895322420e-02       2.457958685538e+04 
       1.080828929922e-02       2.468961628127e+04 
       1.093766674613e-02       2.479663254382e+04 
       1.106708494715e-02       2.490066468823e+04 
       1.119654333217e-02       2.500177378713e+04 
       1.132604137663e-02       2.510029760627e+04 
       1.145557859945e-02       2.519569479500e+04 
       1.158515456123e-02       2.528825083718e+04 
       1.171476886247e-02       2.537800464305e+04 
       1.184442114193e-02       2.546502810226e+04 
       1.197411107521e-02       2.554929707957e+04 
       1.210383837325e-02       2.563084318207e+04 
       1.223360278111e-02       2.570977850087e+04 
       1.236340407673e-02       2.578602786500e+04 
       1.249324206979e-02       2.585965014303e+04 
       1.262311660070e-02       2.593075217427e+04 
       1.275302753961e-02       2.599928918874e+04 
       1.288297478552e-02       2.606530647169e+04 
       1.301295826545e-02       2.612885676513e+04 
       1.314297793367e-02       2.618990646411e+04 
       1.327303377098e-02       2.624855514427e+04 
       1.340312578405e-02       2.630480619272e+04 
       1.353325400482e-02       2.635870401234e+04 
       1.366341848996e-02       2.641023231333e+04 
       1.379361932031e-02       2.645943293532e+04 
       1.392385660046e-02       2.650635748065e+04 
       1.405413045830e-02       2.655099666361e+04 
       1.418444104463e-02       2.659342996288e+04 
       1.431478853281e-02       2.663366176323e+04 
       1.444517311843e-02       2.667169076674e+04 
       1.457559501907e-02       2.670756893404e+04 
       1.470605447398e-02       2.674134065494e+04 
       1.483655174393e-02       2.677299663363e+04 
       1.496708711095e-02       2.680258152965e+04 
       1.509766087821e-02       2.683013843679e+04 
       1.522827336988e-02       2.685569147095e+04 
       1.535892493098e-02       2.687925258902e+04 
       1.548961592732e-02       2.689876756249e+04 
       1.562034674546e-02       2.691842917313e+04 
       1.575111779260e-02       2.693670654442e+04 
       1.588192949662e-02       2.695264486658e+04 
       1.601278230605e-02       2.696615096470e+04 
       1.614367669013e-02       2.697769448412e+04 
       1.627461313879e-02       2.698790748574e+04 
       1.640559216277e-02       2.699638190791e+04 
       1.653661429368e-02       2.700450683368e+04 
       1.666768008409e-02       2.700957279899e+04 
       1.679879010766e-02       2.701267359834e+04 
       1.692994495930e-02       2.701399472663e+04 
       1.706114525527e-02       2.701369383966e+04 
       1.719239163341e-02       2.701230299764e+04 
       1.732368475329e-02       2.700861417954e+04 
       1.745502529643e-02       2.700345277410e+04 
       1.758641396653e-02       2.699478047839e+04 
       1.771785148971e-02       2.698789285822e+04 
       1.784933861475e-02       2.697717571234e+04 
       1.798087611340e-02       2.696558175359e+04 
       1.811246478063e-02       2.695240215876e+04 
       1.824410543496e-02       2.693753549960e+04 
       1.837579891878e-02       2.692212246559e+04 
       1.850754609871e-02       2.690498998168e+04 
       1.863934786590e-02       2.688603333560e+04 
       1.877120513648e-02       2.686568005549e+04 
       1.890311885190e-02       2.684493269090e+04 
       1.903508997937e-02       2.682199129065e+04 
       1.916711951225e-02       2.679753489325e+04 
       1.929920847052e-02       2.677241072382e+04 
       1.943135790125e-02       2.674471111813e+04 
       1.956356887905e-02       2.671653403559e+04 
       1.969584250658e-02       2.668739367935e+04 
       1.982817991508e-02       2.665726133769e+04 
       1.996058226490e-02       2.662423008920e+04 
       2.009305074603e-02       2.659114626312e+04 
       2.022558657870e-02       2.655691144032e+04 
       2.035819101396e-02       2.652259331657e+04 
       2.049086533430e-02       2.648659587929e+04 
       2.062361085429e-02       2.644919549844e+04 
       2.075642892123e-02       2.641040606507e+04 
       2.088932091580e-02       2.636796662964e+04 
       2.102228825282e-02       2.632705562884e+04 
       2.115533238193e-02       2.628579545264e+04 
       2.128845478831e-02       2.624274429237e+04 
       2.142165699354e-02       2.619957511151e+04 
       2.155494055628e-02       2.615489726960e+04 
       2.168830707319e-02       2.610915085725e+04 
       2.182175817971e-02       2.606235818250e+04 
       2.195529555095e-02       2.601245399492e+04 
       2.208892090262e-02       2.596362339462e+04 
       2.222263599189e-02       2.591547344212e+04 
       2.235644261843e-02       2.586520970434e+04 
       2.249034262531e-02       2.581379277464e+04 
       2.262433790009e-02       2.575872206163e+04 
       2.275843037583e-02       2.570559178955e+04 
       2.289262203217e-02       2.565330610928e+04 
       2.302691489648e-02       2.559634357592e+04 
       2.316131104496e-02       2.554256124265e+04 
       2.329581260387e-02       2.548672444355e+04 
       2.343042175073e-02       2.542959782678e+04 
       2.356514071558e-02       2.536936770653e+04 
       2.369997178231e-02       2.531056189610e+04 
       2.383491728995e-02       2.525110146805e+04 
       2.396997963412e-02       2.519101736893e+04 
       2.410516126841e-02       2.513273650307e+04 
       2.424046470587e-02       2.506918277416e+04 
       2.437589252055e-02       2.500648365936e+04 
       2.451144734904e-02       2.494574084725e+04 
       2.464713189211e-02       2.488268985635e+04 
       2.478294891637e-02       2.481592429166e+04 
       2.491890125604e-02       2.475127470963e+04 
       2.505499181466e-02       2.468595592100e+04 
       2.519122356701e-02       2.462064465151e+04 
       2.532759956096e-02       2.455431574356e+04 
       2.546412291948e-02       2.448737255774e+04 
       2.560079684264e-02       2.441998518084e+04 
       2.573762460970e-02       2.435246305778e+04 
       2.587460958134e-02       2.428371563639e+04 
       2.601175520184e-02       2.421587425264e+04 
       2.614906500145e-02       2.414754557880e+04 
       2.628654259874e-02       2.407532420025e+04 
       2.642419170314e-02       2.400499162937e+04 
       2.656201611748e-02       2.393418612823e+04 
       2.670001974063e-02       2.386332036260e+04 
       2.683820657029e-02       2.379166601417e+04 
       2.697658070583e-02       2.371962408950e+04 
       2.711514635122e-02       2.364730316841e+04 
       2.725390781810e-02       2.357439479595e+04 
       2.739286952895e-02       2.350180962088e+04 
       2.753203602037e-02       2.342948978674e+04 
       2.767141194648e-02       2.335554225265e+04 
       2.781100208242e-02       2.327876170035e+04 
       2.795081132806e-02       2.320545098570e+04 
       2.809084471174e-02       2.313082980737e+04 
       2.823110739424e-02       2.305631597911e+04 
       2.837160467284e-02       2.298078300421e+04 
       2.851234198558e-02       2.290503028243e+04 
       2.865332491565e-02       2.282706896301e+04 
       2.879455919594e-02       2.275079329297e+04 
       2.893605071384e-02       2.267529273942e+04 
       2.907780551615e-02       2.259857579675e+04 
       2.921982981420e-02       2.252155256705e+04 
       2.936212998920e-02       2.244306382460e+04 
       2.950471259779e-02       2.236550029617e+04 
       2.964758437784e-02       2.228861193176e+04 
       2.979075225440e-02       2.220979915150e+04 
       2.993422334603e-02       2.213241563716e+04 
       3.007800497127e-02       2.205434486571e+04 
       3.022210465548e-02       2.197650456064e+04 
       3.036653013787e-02       2.189735706190e+04 
       3.051128937890e-02       2.181739607048e+04 
       3.065639056799e-02       2.173843572859e+04 
       3.080184213156e-02       2.165923970861e+04 
       3.094765274138e-02       2.158101154260e+04 
       3.109383132333e-02       2.150166634015e+04 
       3.124038706658e-02       2.142067171337e+04 
       3.138732943310e-02       2.134252277502e+04 
       3.153466816765e-02       2.126307095154e+04 
       3.168241330826e-02       2.118127999018e+04 
       3.183057519708e-02       2.110256132813e+04 
       3.197916449189e-02       2.102319090443e+04 
       3.212819217802e-02       2.094132305168e+04 
       3.227766958090e-02       2.086109739243e+04 
       3.242760837919e-02       2.078080649979e+04 
       3.257802061856e-02       2.070036469298e+04 
       3.272891872611e-02       2.061999414125e+04 
       3.288031552558e-02       2.053906257834e+04 
       3.303222425318e-02       2.046020165609e+04 
       3.318465857438e-02       2.037977314451e+04 
       3.333763260141e-02       2.029863574783e+04 
       3.349116091173e-02       2.021646752401e+04 
       3.364525856747e-02       2.013517134182e+04 
       3.379994113583e-02       2.005520483201e+04 
       3.395522471062e-02       1.997442429200e+04 
       3.411112593489e-02       1.989350860790e+04 
       3.426766202487e-02       1.981239338916e+04 
       3.442485079509e-02       1.973205878865e+04 
       3.458271068503e-02       1.965237289851e+04 
       3.474126078714e-02       1.957108312551e+04 
       3.490052087652e-02       1.948839161821e+04 
       3.506051144224e-02       1.940750942536e+04 
       3.522125372050e-02       1.932717497095e+04 
       3.538276972975e-02       1.924626394379e+04 
       3.554508230778e-02       1.916542359545e+04 
       3.570821515116e-02       1.908404277451e+04 
       3.587219285697e-02       1.900432956703e+04 
       3.603704096711e-02       1.892360691491e+04 
       3.620278601538e-02       1.884283363500e+04 
       3.636945557745e-02       1.876185720199e+04 
       3.653707832407e-02       1.867965977291e+04 
       3.670568407763e-02       1.860030287495e+04 
       3.687530387248e-02       1.851819143140e+04 
       3.704597001909e-02       1.843858562895e+04 
       3.721771617265e-02       1.835616893117e+04 
       3.739057740621e-02       1.827538212518e+04 
       3.756459028882e-02       1.819459783737e+04 
       3.773979296913e-02       1.811504789173e+04 
       3.791622526490e-02       1.803440877401e+04 
       3.809392875877e-02       1.795241697821e+04 
       3.827294690112e-02       1.787122715799e+04 
       3.845332512033e-02       1.779161542430e+04 
       3.863511094129e-02       1.771084852459e+04 
       3.881835411289e-02       1.762986350781e+04 
       3.900310674517e-02       1.754946765662e+04 
       3.918942345723e-02       1.746754766757e+04 
       3.937736153670e-02       1.738645294288e+04 
       3.956698111205e-02       1.730565223848e+04 
       3.975834533882e-02       1.722472797325e+04 
       3.995152060135e-02       1.714519131034e+04 
       4.014657673126e-02       1.706318966544e+04 
       4.034358724470e-02       1.698182889241e+04 
       4.054262960002e-02       1.690205401140e+04 
       4.074378547820e-02       1.682128770211e+04 
       4.094714108840e-02       1.673851656713e+04 
       4.115278750122e-02       1.665734700608e+04 
       4.136082101298e-02       1.657649458652e+04 
       4.157134354424e-02       1.649511425362e+04 
       4.178446307658e-02       1.641375530962e+04 
       4.200029413214e-02       1.633230884715e+04 
       4.221895830076e-02       1.625105220618e+04 
       4.244058482069e-02       1.616976490849e+04 
       4.266531121929e-02       1.608831159204e+04 
       4.289328402119e-02       1.600538950155e+04 
       4.312465953262e-02       1.592264153708e+04 
       4.335960471172e-02       1.584028740378e+04 
       4.359829813616e-02       1.575806556899e+04 
       4.384093108135e-02       1.567539794077e+04 
       4.408770872443e-02       1.559246430379e+04 
       4.433885149174e-02       1.550933729839e+04 
       4.459459657042e-02       1.542684055477e+04 
       4.485519960833e-02       1.534244278331e+04 
       4.512093663052e-02       1.525790035389e+04 
       4.539210620564e-02       1.517356141693e+04 
       4.566903190142e-02       1.508920645829e+04 
       4.595206507600e-02       1.500410996873e+04 
       4.624158806015e-02       1.491866162128e+04 
       4.653801779658e-02       1.483336553257e+04 
       4.684181001528e-02       1.474743750577e+04 
       4.715346403980e-02       1.466046982231e+04 
       4.747352833919e-02       1.457136174084e+04 
       4.780260696448e-02       1.448407727462e+04 
       4.814136703867e-02       1.439562017726e+04 
       4.849054750698e-02       1.430605408922e+04 
       4.885096940078e-02       1.421455994868e+04 
       4.922354792787e-02       1.412333205802e+04 
       4.960930677625e-02       1.403186406153e+04 
       5.000939511254e-02       1.393869111186e+04 
       5.042510787606e-02       1.384304451623e+04 
       5.085791012172e-02       1.374777515955e+04 
       5.130946635905e-02       1.365045993690e+04 
       5.178167608196e-02       1.355195950291e+04 
       5.227671699845e-02       1.345210925552e+04 
       5.279709786757e-02       1.334971233813e+04 
       5.334572334904e-02       1.324411891128e+04 
       5.392597388259e-02       1.313745827876e+04 
       5.454180434063e-02       1.302795598744e+04 
       5.519786600713e-02       1.291431393590e+04 
       5.589965722344e-02       1.279764021060e+04 
       5.665370854901e-02       1.267621913571e+04 
       5.746780794398e-02       1.254863537099e+04 
       5.835126912190e-02       1.241563515451e+04 
       5.931523957132e-02       1.227496555957e+04 
       6.037302961288e-02       1.212456865352e+04 
       6.154041311767e-02       1.196269997057e+04 
       6.283579364421e-02       1.178588641258e+04 
       6.428003579621e-02       1.159008571982e+04 
       6.589563287346e-02       1.137001162095e+04 
       6.770477080312e-02       1.111905291255e+04 
