# Matter power spectrum P(k) at redshift z=0
# for k=1.0455e-05 to 0.630534 h/Mpc,
# number of wavenumbers equal to 559
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.045502190352e-05       3.672071087893e+05 
       2.345441606625e-05       3.457530948501e+04 
       3.650012048881e-05       1.101149392713e+04 
       4.962788504237e-05       5.060349409660e+03 
       6.287405951073e-05       3.131310303242e+03 
       7.627592367555e-05       2.264878331194e+03 
       8.987202811233e-05       1.813647743218e+03 
       1.037025503081e-04       1.568335306536e+03 
       1.178096707459e-04       1.451179385769e+03 
       1.322379736369e-04       1.360367495059e+03 
       1.470348769806e-04       1.290781902534e+03 
       1.622510965668e-04       1.270480910632e+03 
       1.779411483237e-04       1.282313744570e+03 
       1.941638930002e-04       1.281377691929e+03 
       2.109831264269e-04       1.303612589713e+03 
       2.284682173870e-04       1.343844358487e+03 
       2.466947932597e-04       1.378935516040e+03 
       2.657454708177e-04       1.426005801256e+03 
       2.857106255763e-04       1.485472193646e+03 
       3.066891875273e-04       1.543704505645e+03 
       3.287894435280e-04       1.611726569615e+03 
       3.521298166163e-04       1.685541636149e+03 
       3.768395796892e-04       1.769721174328e+03 
       4.030594450627e-04       1.858643028961e+03 
       4.309419525431e-04       1.952484226213e+03 
       4.606515574819e-04       2.056478528430e+03 
       4.923642985711e-04       2.166918129864e+03 
       5.262669059450e-04       2.287101549392e+03 
       5.625551983808e-04       2.416717601768e+03 
       6.014316208227e-04       2.556210561160e+03 
       6.431017984332e-04       2.706331555193e+03 
       6.877700394195e-04       2.866992630484e+03 
       7.356338121204e-04       3.039695986613e+03 
       7.868773522801e-04       3.225470871513e+03 
       8.416647137348e-04       3.423369204138e+03 
       9.001327364924e-04       3.632486219127e+03 
       9.623845349426e-04       3.852843974073e+03 
       1.028484165185e-03       4.090311189559e+03 
       1.098453081357e-03       4.336256215716e+03 
       1.172268825680e-03       4.595967920540e+03 
       1.249866136926e-03       4.866567100779e+03 
       1.331140358256e-03       5.141336582984e+03 
       1.415952744549e-03       5.437368878704e+03 
       1.504137071098e-03       5.735592900842e+03 
       1.595506863749e-03       6.026444742442e+03 
       1.689862605035e-03       6.344542596529e+03 
       1.786998393189e-03       6.668536482541e+03 
       1.886707698737e-03       6.989343383498e+03 
       1.988788035531e-03       7.318756479467e+03 
       2.093044510005e-03       7.655690871950e+03 
       2.199292319381e-03       7.991451553992e+03 
       2.307358334374e-03       8.319235537952e+03 
       2.417081930918e-03       8.650544443950e+03 
       2.528315238079e-03       8.984471683663e+03 
       2.640922955419e-03       9.334135419592e+03 
       2.754781870813e-03       9.662629081666e+03 
       2.869780184702e-03       9.991061110010e+03 
       2.985816722790e-03       1.032015556806e+04 
       3.102800098040e-03       1.063277807052e+04 
       3.220647865302e-03       1.096528548683e+04 
       3.339285698042e-03       1.129583777422e+04 
       3.458646606030e-03       1.161129330871e+04 
       3.578670205040e-03       1.191959358051e+04 
       3.699302043992e-03       1.224167157352e+04 
       3.820492991104e-03       1.253687772221e+04 
       3.942198678025e-03       1.281424491773e+04 
       4.064378999279e-03       1.314282085088e+04 
       4.186997663430e-03       1.344501065035e+04 
       4.310021791847e-03       1.372698551572e+04 
       4.433421560840e-03       1.398405544655e+04 
       4.557169882967e-03       1.428075840322e+04 
       4.681242123494e-03       1.456566426729e+04 
       4.805615848282e-03       1.482379336398e+04 
       4.930270599643e-03       1.510451173964e+04 
       5.055187697032e-03       1.535748429169e+04 
       5.180350059777e-03       1.562484201238e+04 
       5.305742049301e-03       1.588586577051e+04 
       5.431349328599e-03       1.613424695058e+04 
       5.557158736975e-03       1.635227603694e+04 
       5.683158178278e-03       1.663528157121e+04 
       5.809336521071e-03       1.684289860096e+04 
       5.935683509363e-03       1.707802831594e+04 
       6.062189682703e-03       1.731644630563e+04 
       6.188846304553e-03       1.754294673383e+04 
       6.315645298016e-03       1.777796619685e+04 
       6.442579188090e-03       1.797035942793e+04 
       6.569641049711e-03       1.818483057154e+04 
       6.696824460961e-03       1.842415068429e+04 
       6.824123460868e-03       1.854063931494e+04 
       6.951532511286e-03       1.873905956762e+04 
       7.079046462449e-03       1.893204297428e+04 
       7.206660521771e-03       1.912429182508e+04 
       7.334370225578e-03       1.930856886004e+04 
       7.462171413454e-03       1.948931414056e+04 
       7.590060204930e-03       1.966464529729e+04 
       7.718032978284e-03       1.984646811274e+04 
       7.846086351238e-03       2.001638599562e+04 
       7.974217163351e-03       2.018314725957e+04 
       8.102422459961e-03       2.034685115586e+04 
       8.230699477505e-03       2.050240872623e+04 
       8.359045630096e-03       2.064666121345e+04 
       8.487458497233e-03       2.080893482238e+04 
       8.615935812535e-03       2.094742542703e+04 
       8.744475453410e-03       2.110392702764e+04 
       8.873075431567e-03       2.124922161764e+04 
       9.001733884290e-03       2.137207251927e+04 
       9.130449066420e-03       2.150331202040e+04 
       9.259219342965e-03       2.164146190489e+04 
       9.388043182294e-03       2.175040749770e+04 
       9.516919149855e-03       2.187458321466e+04 
       9.645845902385e-03       2.200607075148e+04 
       9.774822182556e-03       2.212215872016e+04 
       9.903846814025e-03       2.223610454360e+04 
       1.003291869686e-02       2.234882118813e+04 
       1.016203680330e-02       2.244968882645e+04 
       1.029120017384e-02       2.255956900134e+04 
       1.042040791358e-02       2.266761443391e+04 
       1.054965918888e-02       2.273179150343e+04 
       1.067895322420e-02       2.285428091203e+04 
       1.080828929922e-02       2.294059076789e+04 
       1.093766674613e-02       2.302853576932e+04 
       1.106708494715e-02       2.311322551284e+04 
       1.119654333217e-02       2.319535243969e+04 
       1.132604137663e-02       2.327488378242e+04 
       1.145557859945e-02       2.331327074556e+04 
       1.158515456123e-02       2.342108314211e+04 
       1.171476886247e-02       2.346334364669e+04 
       1.184442114193e-02       2.353124169413e+04 
       1.197411107521e-02       2.359214539392e+04 
       1.210383837325e-02       2.364929136833e+04 
       1.223360278111e-02       2.369906829378e+04 
       1.236340407673e-02       2.376947679730e+04 
       1.249324206979e-02       2.381968765689e+04 
       1.262311660070e-02       2.388340552286e+04 
       1.275302753961e-02       2.393783662658e+04 
       1.288297478552e-02       2.398426931206e+04 
       1.301295826545e-02       2.399068990277e+04 
       1.314297793367e-02       2.403374875575e+04 
       1.327303377098e-02       2.414176968817e+04 
       1.340312578405e-02       2.415792217679e+04 
       1.353325400482e-02       2.415912220769e+04 
       1.366341848996e-02       2.417312914837e+04 
       1.379361932031e-02       2.421718178576e+04 
       1.392385660046e-02       2.424045910954e+04 
       1.405413045830e-02       2.428657465954e+04 
       1.418444104463e-02       2.428046415881e+04 
       1.431478853281e-02       2.428477626462e+04 
       1.444517311843e-02       2.432476437251e+04 
       1.457559501907e-02       2.431261922276e+04 
       1.470605447398e-02       2.433130680925e+04 
       1.483655174393e-02       2.439208223360e+04 
       1.496708711095e-02       2.439615671479e+04 
       1.509766087821e-02       2.439698042530e+04 
       1.522827336988e-02       2.440334259032e+04 
       1.535892493098e-02       2.436797260433e+04 
       1.548961592732e-02       2.439869415949e+04 
       1.562034674546e-02       2.435615146802e+04 
       1.575111779260e-02       2.435068244601e+04 
       1.588192949662e-02       2.440170710604e+04 
       1.601278230605e-02       2.434982955872e+04 
       1.614367669013e-02       2.434388428368e+04 
       1.627461313879e-02       2.432876764719e+04 
       1.640559216277e-02       2.431194415430e+04 
       1.653661429368e-02       2.434292184037e+04 
       1.666768008409e-02       2.428850516822e+04 
       1.679879010766e-02       2.432204590492e+04 
       1.692994495930e-02       2.424526728373e+04 
       1.706114525527e-02       2.421774119158e+04 
       1.719239163341e-02       2.421160977255e+04 
       1.732368475329e-02       2.428747581908e+04 
       1.745502529643e-02       2.421565049352e+04 
       1.758641396653e-02       2.417222188240e+04 
       1.771785148971e-02       2.409814889347e+04 
       1.784933861475e-02       2.415737073251e+04 
       1.798087611340e-02       2.405471576759e+04 
       1.811246478063e-02       2.399575730020e+04 
       1.824410543496e-02       2.395483548395e+04 
       1.837579891878e-02       2.395907525178e+04 
       1.850754609871e-02       2.390874575379e+04 
       1.863934786590e-02       2.390774632068e+04 
       1.877120513648e-02       2.384037885393e+04 
       1.890311885190e-02       2.381770024968e+04 
       1.903508997937e-02       2.379004603575e+04 
       1.916711951225e-02       2.368887746551e+04 
       1.929920847052e-02       2.366786596564e+04 
