# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       2.455671018538e+03       5.311374254677e-08       2.501536271341e-03 
    3       2.386327480311e+03       6.573645272052e-08       2.697030750801e-03 
    4       2.283273149790e+03       7.628330169728e-08       2.743773181814e-03 
    5       2.183190900981e+03       8.544024347853e-08       2.722975953336e-03 
    6       2.093798805538e+03       9.348883677298e-08       2.668534052269e-03 
    7       2.015178863491e+03       1.006528033734e-07       2.595367100295e-03 
    8       1.946484531973e+03       1.070507105760e-07       2.512822674522e-03 
    9       1.885946819429e+03       1.127893538895e-07       2.428224947422e-03 
   10       1.831961747840e+03       1.179562328019e-07       2.345205244666e-03 
   11       1.783848867947e+03       1.192963679808e-07       2.272208533752e-03 
   12       1.739902736892e+03       1.232774278817e-07       2.180340434852e-03 
   13       1.699693488299e+03       1.268543428206e-07       2.105151453436e-03 
   14       1.662627422588e+03       1.300720571912e-07       2.026037963291e-03 
   15       1.628242641512e+03       1.329671995406e-07       1.956617335889e-03 
   16       1.595958838359e+03       1.355730901953e-07       1.892532322964e-03 
   17       1.565571293963e+03       1.379179106313e-07       1.831500680499e-03 
   18       1.536715029018e+03       1.399720855294e-07       1.774412178332e-03 
   19       1.509706925719e+03       1.419180276517e-07       1.721842789834e-03 
   20       1.484001367021e+03       1.436050396751e-07       1.669733959275e-03 
   21       1.459715515056e+03       1.451272453602e-07       1.617839001218e-03 
   22       1.436565793227e+03       1.464576936823e-07       1.565447941528e-03 
   23       1.414643331671e+03       1.476719731250e-07       1.514678632981e-03 
   24       1.393745584276e+03       1.487178202524e-07       1.467211980536e-03 
   25       1.373952236841e+03       1.496539972359e-07       1.423008789002e-03 
   26       1.355130787161e+03       1.504570937105e-07       1.380328819032e-03 
   27       1.337277346551e+03       1.511561249336e-07       1.339799273675e-03 
   28       1.320246529980e+03       1.517118861044e-07       1.302125376407e-03 
   29       1.304198009969e+03       1.522033927536e-07       1.267697623308e-03 
   30       1.289154755042e+03       1.526527105403e-07       1.235754466069e-03 
   31       1.274938309277e+03       1.529733301603e-07       1.204558695142e-03 
   32       1.261632333896e+03       1.532136557997e-07       1.173964506125e-03 
   33       1.249244628523e+03       1.534043019540e-07       1.143827701990e-03 
   34       1.237650621027e+03       1.535059110469e-07       1.113632861575e-03 
   35       1.226900468223e+03       1.535528952920e-07       1.083964142562e-03 
   36       1.216988462450e+03       1.535525522713e-07       1.055591312864e-03 
   37       1.207826710728e+03       1.534625561876e-07       1.029024320901e-03 
   38       1.199486943927e+03       1.533244291951e-07       1.004423377725e-03 
   39       1.192018329561e+03       1.531768418131e-07       9.815275005995e-04 
   40       1.185370133549e+03       1.530054447316e-07       9.595727190793e-04 
   41       1.179439788263e+03       1.527593816197e-07       9.375913008005e-04 
   42       1.174259602809e+03       1.524630990369e-07       9.157169096132e-04 
   43       1.169854248532e+03       1.521441005641e-07       8.943548863629e-04 
   44       1.166182319107e+03       1.517944446960e-07       8.738245675585e-04 
   45       1.163173542739e+03       1.513840268658e-07       8.543422666288e-04 
   46       1.160867531730e+03       1.509390858677e-07       8.360173557905e-04 
   47       1.159306518412e+03       1.504902313217e-07       8.188154745217e-04 
   48       1.158492561901e+03       1.500460789563e-07       8.025276750456e-04 
   49       1.158384153679e+03       1.495865667801e-07       7.867432066263e-04 
   50       1.158922959373e+03       1.490760036370e-07       7.709890143161e-04 
   51       1.160130476524e+03       1.485296460155e-07       7.552854870007e-04 
   52       1.162031746015e+03       1.479694071636e-07       7.397644706290e-04 
   53       1.164625579618e+03       1.474028887967e-07       7.245124514354e-04 
   54       1.167882583746e+03       1.468194478088e-07       7.095622039536e-04 
   55       1.171764026346e+03       1.461993320446e-07       6.949189344844e-04 
   56       1.176288453524e+03       1.455573043506e-07       6.806711931095e-04 
   57       1.181478160370e+03       1.449125320489e-07       6.669053456849e-04 
   58       1.187338658912e+03       1.442747553041e-07       6.536685478509e-04 
   59       1.193857513941e+03       1.436418641214e-07       6.409627221257e-04 
   60       1.201003178836e+03       1.429972539795e-07       6.287382730483e-04 
   61       1.208740180682e+03       1.423186657174e-07       6.169233162795e-04 
   62       1.217081292311e+03       1.416164607273e-07       6.055383880868e-04 
   63       1.226045058283e+03       1.409070921738e-07       5.946084377328e-04 
   64       1.235639846317e+03       1.402016133755e-07       5.841266134722e-04 
   65       1.245863201868e+03       1.395043394781e-07       5.740502949812e-04 
   66       1.256701202703e+03       1.388113965485e-07       5.642969745847e-04 
   67       1.268127813479e+03       1.381091545051e-07       5.547399872820e-04 
   68       1.280115676498e+03       1.373809959132e-07       5.452501205745e-04 
   69       1.292672465689e+03       1.366349103066e-07       5.358455002103e-04 
   70       1.305810773278e+03       1.358838572155e-07       5.265790251001e-04 
   71       1.319536978761e+03       1.351375626652e-07       5.174950120844e-04 
   72       1.333850895973e+03       1.344017705810e-07       5.086279080796e-04 
   73       1.348745420140e+03       1.336774369835e-07       5.000009541422e-04 
   74       1.364206174949e+03       1.329598653253e-07       4.916248014536e-04 
   75       1.380211159607e+03       1.322377813175e-07       4.834960792233e-04 
   76       1.396738244067e+03       1.314983317883e-07       4.756050798716e-04 
   77       1.413790012838e+03       1.307465457809e-07       4.679646401338e-04 
   78       1.431372831395e+03       1.299910684580e-07       4.605864239335e-04 
   79       1.449489211024e+03       1.292383686882e-07       4.534714114385e-04 
   80       1.468137616815e+03       1.284923019243e-07       4.466088198848e-04 
   81       1.487312275660e+03       1.277536433209e-07       4.399749910608e-04 
   82       1.507002984246e+03       1.270195903202e-07       4.335322454521e-04 
   83       1.527194917050e+03       1.262832339377e-07       4.272277030460e-04 
   84       1.547873236589e+03       1.255368850277e-07       4.210095680150e-04 
   85       1.569038222904e+03       1.247846402197e-07       4.148834033405e-04 
   86       1.590692311852e+03       1.240328963454e-07       4.088675621255e-04 
   87       1.612835406202e+03       1.232865677058e-07       4.029764942069e-04 
   88       1.635464764339e+03       1.225488191894e-07       3.972203242520e-04 
   89       1.658574888968e+03       1.218207829602e-07       3.916044173977e-04 
   90       1.682157415822e+03       1.211012583321e-07       3.861289324301e-04 
   91       1.706201002363e+03       1.203863944431e-07       3.807883625064e-04 
