# Matter power spectrum P(k) at redshift z=0
# for k=1.04656e-05 to 0.630317 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046558415325e-05       5.254015207915e+01 
       2.351801662594e-05       1.144790820235e+02 
       3.661723974182e-05       1.752576728137e+02 
       4.979944398378e-05       2.355678110395e+02 
       6.310143126752e-05       2.957995228797e+02 
       7.656095185419e-05       3.562430613553e+02 
       9.021705226981e-05       4.171456835726e+02 
       1.041104389746e-04       4.787345323408e+02 
       1.182838625604e-04       5.412285677311e+02 
       1.327825272890e-04       6.048455893268e+02 
       1.476545307857e-04       6.698072000915e+02 
       1.629513386242e-04       7.363426608853e+02 
       1.787282983224e-04       8.046921072783e+02 
       1.950451968249e-04       8.751095699845e+02 
       2.119668647644e-04       9.478658510050e+02 
       2.295638295186e-04       1.023251275026e+03 
       2.479130171051e-04       1.101578573973e+03 
       2.670985000381e-04       1.183185711695e+03 
       2.872122840706e-04       1.268438696517e+03 
       3.083551208967e-04       1.357734368552e+03 
       3.306373259346e-04       1.451503008171e+03 
       3.541795698090e-04       1.550210628015e+03 
       3.791135986821e-04       1.654360778664e+03 
       4.055828219224e-04       1.764495547005e+03 
       4.337426858838e-04       1.881195504606e+03 
       4.637607306141e-04       2.005077985494e+03 
       4.958162039871e-04       2.136793448398e+03 
       5.300990884223e-04       2.277019150263e+03 
       5.668083842817e-04       2.426449622195e+03 
       6.061494984596e-04       2.585783569074e+03 
       6.483306153751e-04       2.755706726501e+03 
       6.935579892699e-04       2.936870618574e+03 
       7.420301973202e-04       3.129867751009e+03 
       7.939315315700e-04       3.335204012735e+03 
       8.494248719064e-04       3.553270580100e+03 
       9.086445462206e-04       3.784316260988e+03 
       9.716898095448e-04       4.028424726613e+03 
       1.038619619413e-03       4.285497764906e+03 
       1.109449317999e-03       4.555247760050e+03 
       1.184149645688e-03       4.837200743082e+03 
       1.262648232381e-03       5.130709651330e+03 
       1.344833398587e-03       5.434977782232e+03 
       1.430559817925e-03       5.749049251923e+03 
       1.519655405111e-03       6.071951343457e+03 
       1.611928728761e-03       6.402632988929e+03 
       1.707176301000e-03       6.740018793675e+03 
       1.805189232913e-03       7.083041151249e+03 
       1.905758921462e-03       7.430664133494e+03 
