# Matter power spectrum P(k) at redshift z=0
# for k=1.04656e-05 to 0.630317 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046558415325e-05       4.714338866882e+06 
       2.351801662594e-05       4.125535316487e+05 
       3.661723974182e-05       1.121226734605e+05 
       4.979944398378e-05       4.675064765743e+04 
       6.310143126752e-05       2.457456464461e+04 
       7.656095185419e-05       1.496243089518e+04 
       9.021705226981e-05       1.010167264259e+04 
       1.041104389746e-04       7.353298619213e+03 
       1.182838625604e-04       5.679458269818e+03 
       1.327825272890e-04       4.596255546258e+03 
       1.476545307857e-04       3.864966935840e+03 
       1.629513386242e-04       3.352369559176e+03 
       1.787282983224e-04       2.984436654477e+03 
       1.950451968249e-04       2.716170130560e+03 
       2.119668647644e-04       2.518243899278e+03 
       2.295638295186e-04       2.372168228296e+03 
       2.479130171051e-04       2.265720366164e+03 
       2.670985000381e-04       2.190011550824e+03 
       2.872122840706e-04       2.138905101171e+03 
       3.083551208967e-04       2.108186840102e+03 
       3.306373259346e-04       2.094715567381e+03 
       3.541795698090e-04       2.096348104128e+03 
       3.791135986821e-04       2.111514429288e+03 
       4.055828219224e-04       2.139100588715e+03 
       4.337426858838e-04       2.178439702386e+03 
       4.637607306141e-04       2.229028563000e+03 
       4.958162039871e-04       2.290710195441e+03 
       5.300990884223e-04       2.363417954966e+03 
       5.668083842817e-04       2.447207216278e+03 
       6.061494984596e-04       2.542263194097e+03 
       6.483306153751e-04       2.648830722875e+03 
       6.935579892699e-04       2.767178273770e+03 
       7.420301973202e-04       2.897569138985e+03 
       7.939315315700e-04       3.040249004253e+03 
       8.494248719064e-04       3.195411084035e+03 
       9.086445462206e-04       3.363112899983e+03 
       9.716898095448e-04       3.543296294450e+03 
       1.038619619413e-03       3.735784250586e+03 
       1.109449317999e-03       3.940260385819e+03 
       1.184149645688e-03       4.156282597227e+03 
       1.262648232381e-03       4.383227662602e+03 
       1.344833398587e-03       4.620320107577e+03 
       1.430559817925e-03       4.866771894820e+03 
       1.519655405111e-03       5.121701118451e+03 
       1.611928728761e-03       5.384089484987e+03 
       1.707176301000e-03       5.653003453989e+03 
       1.805189232913e-03       5.927566976171e+03 
       1.905758921462e-03       6.206769612867e+03 
       2.008681608447e-03       6.489743981701e+03 
       2.113761797058e-03       6.775696388240e+03 
       2.220814613954e-03       7.063902616208e+03 
       2.329667264292e-03       7.353578903488e+03 
       2.440159751086e-03       7.644116936071e+03 
       2.552145029012e-03       7.934971202638e+03 
       2.665488746166e-03       8.225565216696e+03 
       2.780068703323e-03       8.515483196394e+03 
       2.895774134413e-03       8.804315827531e+03 
       3.012504887678e-03       9.091670286649e+03 
       3.130170565898e-03       9.377251979878e+03 
       3.248689666828e-03       9.660753084010e+03 
       3.367988751431e-03       9.941953711561e+03 
       3.488001657278e-03       1.022065346207e+04 
       3.608668766946e-03       1.049664538897e+04 
       3.729936335932e-03       1.076975788737e+04 
       3.851755880954e-03       1.103989888376e+04 
       3.974083627100e-03       1.130690143097e+04 
       4.096880010775e-03       1.157066791003e+04 
       4.220109234594e-03       1.183111405708e+04 
       4.343738869922e-03       1.208815927520e+04 
       4.467739502699e-03       1.234178248545e+04 
