# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:dd                     4:dT                 
    2       1.190872540796e+22       5.601655916982e+09       1.356043657233e+15 
    3       1.259372306424e+22       7.932270920518e+09       2.536088989624e+15 
    4       1.513770864147e+22       1.024298165261e+10      -1.858087111978e+15 
    5       2.989178073376e+22       1.162347980583e+10      -5.005941531792e+15 
    6       3.842061477148e+22       1.257476042760e+10      -9.683830525555e+14 
    7       3.479483526091e+22       1.427495398522e+10       4.780803199940e+15 
    8       3.194026627189e+22       1.656634638628e+10       5.268097395588e+15 
    9       3.865041220876e+22       1.832884714984e+10       4.873699336605e+14 
   10       5.095400942894e+22       1.891935971036e+10      -4.783271128481e+15 
   11       6.001262181305e+22       3.648813027381e+10      -8.515988304595e+15 
   12       6.101809285219e+22       3.048632565724e+10      -6.471128630949e+15 
   13       5.547250379619e+22       3.442852769032e+10      -2.188400351099e+15 
   14       4.824696975939e+22       2.700210809620e+10       1.578356840091e+15 
   15       4.374663004877e+22       2.850576323546e+10       3.170050975752e+15 
   16       4.381208445673e+22       3.248876898093e+10       2.369638817264e+15 
   17       4.765793033136e+22       3.090699509164e+10      -2.610220546090e+14 
   18       5.289294349310e+22       2.779987301721e+10      -3.235545826098e+15 
   19       5.743980276393e+22       2.511280797870e+10      -5.609927403375e+15 
   20       5.929528877752e+22       2.324715209051e+10      -6.675483524847e+15 
   21       5.809923716076e+22       2.211268804190e+10      -6.389978290206e+15 
   22       5.428067748811e+22       2.115542555001e+10      -5.145041947373e+15 
   23       4.881881179781e+22       2.035088459556e+10      -3.359406127468e+15 
   24       4.302271961671e+22       1.986411823705e+10      -1.565211660905e+15 
   25       3.781677368182e+22       1.982649871885e+10      -1.002359146264e+14 
   26       3.397626918818e+22       2.023024159960e+10       7.689644994503e+14 
   27       3.169639763065e+22       2.061205168144e+10       9.750105085970e+14 
   28       3.090084600270e+22       2.026938104430e+10       5.751564149862e+14 
   29       3.129706310807e+22       1.924011429822e+10      -2.783726725048e+14 
   30       3.240423100041e+22       1.801068744913e+10      -1.313691110040e+15 
   31       3.365520592102e+22       1.719344559962e+10      -2.203159408833e+15 
   32       3.473180250618e+22       1.677605621870e+10      -2.874537550865e+15 
   33       3.534353634171e+22       1.638049191126e+10      -3.354549490861e+15 
   34       3.521025207901e+22       1.553362439878e+10      -3.682159595844e+15 
   35       3.431809342137e+22       1.428385410882e+10      -3.842917924635e+15 
   36       3.275481082882e+22       1.294887172410e+10      -3.806216146612e+15 
   37       3.064022159272e+22       1.190781507866e+10      -3.552127513435e+15 
   38       2.810916081150e+22       1.123538066456e+10      -3.109328238473e+15 
   39       2.532722252551e+22       1.086404972543e+10      -2.538027256324e+15 
   40       2.249839225838e+22       1.065051291405e+10      -1.924712745453e+15 
   41       1.982999882723e+22       1.041172087879e+10      -1.364044670521e+15 
   42       1.740810834151e+22       1.011088052726e+10      -8.846702623126e+14 
   43       1.528558536611e+22       9.758885013467e+09      -4.936988415426e+14 
   44       1.351584497444e+22       9.370112602652e+09      -1.948023659978e+14 
   45       1.214004377949e+22       8.960709033441e+09       1.174087297308e+13 
   46       1.114454896970e+22       8.541202598476e+09       1.272835094247e+14 
   47       1.049042039886e+22       8.120162447226e+09       1.568926137625e+14 
   48       1.012402079386e+22       7.705563379666e+09       1.105813354020e+14 
   49       9.976093145623e+21       7.304358377057e+09       3.966881079587e+12 
   50       9.972495655133e+21       6.921798924022e+09      -1.441347896088e+14 
   51       1.007198220718e+22       6.560172462796e+09      -3.217704906379e+14 
   52       1.023708219281e+22       6.218549827720e+09      -5.166461220020e+14 
   53       1.042297411083e+22       5.892237644849e+09      -7.130621978230e+14 
   54       1.057711154964e+22       5.571994058763e+09      -8.915767539207e+14 
   55       1.064995063774e+22       5.247187190378e+09      -1.033186602888e+15 
   56       1.063110995021e+22       4.919283998987e+09      -1.134553167309e+15 
   57       1.052153837701e+22       4.593406749326e+09      -1.197767636061e+15 
   58       1.032325791393e+22       4.274794909411e+09      -1.226452738016e+15 
   59       1.003942216916e+22       3.968722413109e+09      -1.225929498994e+15 
   60       9.674374869744e+21       3.680404926398e+09      -1.203390293150e+15 
   61       9.234165103306e+21       3.414496362269e+09      -1.166369701623e+15 
   62       8.728095829322e+21       3.173560415625e+09      -1.117127019640e+15 
   63       8.167628350488e+21       2.958737639975e+09      -1.056703352561e+15 
   64       7.566027801209e+21       2.769878387360e+09      -9.864990804550e+14 
   65       6.938436145974e+21       2.605307897821e+09      -9.083051714731e+14 
   66       6.301945177736e+21       2.461573785500e+09      -8.243355007743e+14 
   67       5.675669516287e+21       2.333175395844e+09      -7.372601750195e+14 
   68       5.077459065214e+21       2.214048089804e+09      -6.498014006703e+14 
   69       4.513099670356e+21       2.103422411377e+09      -5.632975507791e+14 
   70       3.985045313808e+21       2.001783319794e+09      -4.787667350631e+14 
