# Matter power spectrum P(k) at redshift z=0
# for k=1.04656e-05 to 0.630317 h/Mpc,
# number of wavenumbers equal to 558
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.046558415325e-05       6.165478347249e+25 
       2.351801662594e-05       5.232479989474e+24 
       3.661723974182e-05       1.346115447281e+24 
       4.979944398378e-05       5.191684375169e+23 
       6.310143126752e-05       2.468540722015e+23 
       7.656095185419e-05       1.331383149245e+23 
       9.021705226981e-05       7.796113209468e+22 
       1.041104389746e-04       4.828280735344e+22 
       1.182838625604e-04       3.110538324214e+22 
       1.327825272890e-04       2.059499151245e+22 
       1.476545307857e-04       1.390177636822e+22 
       1.629513386242e-04       9.478871938962e+21 
       1.787282983224e-04       6.510202404379e+21 
       1.950451968249e-04       4.468996948990e+21 
       2.119668647644e-04       3.048001184384e+21 
       2.295638295186e-04       2.055171866602e+21 
       2.479130171051e-04       1.360974937320e+21 
       2.670985000381e-04       8.776494000121e+20 
       2.872122840706e-04       5.443251233831e+20 
       3.083551208967e-04       3.193916733487e+20 
       3.306373259346e-04       1.729261052035e+20 
       3.541795698090e-04       8.246115163557e+19 
       3.791135986821e-04       3.134538309882e+19 
       4.055828219224e-04       7.019547267606e+18 
       4.337426858838e-04       4.520536000060e+16 
       4.637607306141e-04       3.047835189569e+18 
       4.958162039871e-04       1.055275495870e+19 
       5.300990884223e-04       1.857228426161e+19 
       5.668083842817e-04       2.452574466417e+19 
       6.061494984596e-04       2.701762341684e+19 
       6.483306153751e-04       2.572366146357e+19 
       6.935579892699e-04       2.127440300861e+19 
       7.420301973202e-04       1.495986869935e+19 
       7.939315315700e-04       8.384401782555e+18 
       8.494248719064e-04       3.105314447896e+18 
       9.086445462206e-04       2.903935007888e+17 
       9.716898095448e-04       4.987693320902e+17 
       1.038619619413e-03       3.616958152079e+18 
       1.109449317999e-03       8.951991813725e+18 
       1.184149645688e-03       1.531558590816e+19 
       1.262648232381e-03       2.103076076282e+19 
       1.344833398587e-03       2.385735806170e+19 
       1.430559817925e-03       2.278390134516e+19 
       1.519655405111e-03       1.459733997142e+19 
       1.611928728761e-03       3.244915867513e+18 
       1.707176301000e-03       1.900582988532e+18 
       1.805189232913e-03       3.123842498357e+19 
       1.905758921462e-03       1.073855807478e+20 
       2.008681608447e-03       2.215652744325e+20 
       2.113761797058e-03       3.279124095393e+20 
       2.220814613954e-03       3.587857081071e+20 
       2.329667264292e-03       2.741263286547e+20 
       2.440159751086e-03       1.132906012795e+20 
       2.552145029012e-03       2.404974800165e+18 
       2.665488746166e-03       9.461781191467e+19 
       2.780068703323e-03       4.716979237139e+20 
       2.895774134413e-03       1.075297018529e+21 
       3.012504887678e-03       1.714606996823e+21 
       3.130170565898e-03       2.150951742777e+21 
       3.248689666828e-03       2.209536220749e+21 
       3.367988751431e-03       1.856887986652e+21 
       3.488001657278e-03       1.219011738641e+21 
       3.608668766946e-03       5.351617715701e+20 
       3.729936335932e-03       7.534603945061e+19 
       3.851755880954e-03       5.409044546994e+19 
       3.974083627100e-03       5.679049525029e+20 
       4.096880010775e-03       1.573158829967e+21 
       4.220109234594e-03       2.904767019756e+21 
       4.343738869922e-03       4.322521091261e+21 
       4.467739502699e-03       5.574121090853e+21 
       4.592084418280e-03       6.449460894244e+21 
       4.716749321226e-03       6.817726382404e+21 
       4.841712086279e-03       6.643729703376e+21 
       4.966952537072e-03       5.979553087763e+21 
       5.092452249445e-03       4.946121635451e+21 
       5.218194376545e-03       3.708586018235e+21 
       5.344163493219e-03       2.446186004009e+21 
       5.470345457444e-03       1.330155279997e+21 
       5.596727286835e-03       5.030972152389e+20 
       5.723297048470e-03       6.119796948838e+19 
       5.850043760500e-03       4.753550251908e+19 
       5.976957304169e-03       4.528324822381e+20 
       6.104028345073e-03       1.224660659667e+21 
       6.231248262573e-03       2.280563861031e+21 
       6.358609086470e-03       3.522379159736e+21 
       6.486103440100e-03       4.848560200311e+21 
       6.613724489140e-03       6.162152453887e+21 
       6.741465895502e-03       7.378822849712e+21 
       6.869321775750e-03       8.422725643206e+21 
       6.997286663539e-03       9.237506543606e+21 
       7.125355475668e-03       9.783442056959e+21 
       7.253523481337e-03       1.004371496808e+22 
       7.381786274290e-03       1.001904912727e+22 
       7.510139747528e-03       9.729014726493e+21 
       7.638580070340e-03       9.209943909921e+21 
       7.767103667403e-03       8.505975814503e+21 
       7.895707199758e-03       7.668566301226e+21 
       8.024387547455e-03       6.748215157845e+21 
       8.153141793718e-03       5.791510328990e+21 
       8.281967210480e-03       4.839833716212e+21 
       8.410861245143e-03       3.926713313295e+21 
       8.539821508466e-03       3.079550284596e+21 
       8.668845763453e-03       2.317803123860e+21 
       8.797931915167e-03       1.655851372637e+21 
       8.927078001372e-03       1.102799110570e+21 
       9.056282183931e-03       6.636324972994e+20 
       9.185542740897e-03       3.390061148312e+20 
       9.314858059221e-03       1.260647241198e+20 
       9.444226628044e-03       1.823135057299e+19 
       9.573647032500e-03       5.775324734928e+18 
       9.703117948001e-03       7.638814416771e+19 
       9.832638134958e-03       2.159934663439e+20 
       9.962206433899e-03       4.096346230487e+20 
       1.009182176095e-02       6.423616604820e+20 
       1.022148310368e-02       8.996980951436e+20 
       1.035118951717e-02       1.168980186723e+21 
       1.048094012051e-02       1.438902397622e+21 
       1.061073409341e-02       1.700026464535e+21 
       1.074057067312e-02       1.945021428085e+21 
       1.087044915162e-02       2.168402515162e+21 
       1.100036887287e-02       2.366281282509e+21 
       1.113032923044e-02       2.536360438002e+21 
       1.126032966512e-02       2.676945721010e+21 
       1.139036966288e-02       2.787696343113e+21 
       1.152044875280e-02       2.868494816984e+21 
       1.165056650528e-02       2.919823985038e+21 
       1.178072253033e-02       2.941946210082e+21 
       1.191091647592e-02       2.936282086398e+21 
       1.204114802657e-02       2.904048737032e+21 
       1.217141690192e-02       2.847171530884e+21 
       1.230172285546e-02       2.767534011229e+21 
       1.243206567334e-02       2.667969185644e+21 
       1.256244517328e-02       2.551111186367e+21 
       1.269286120353e-02       2.419904553037e+21 
       1.282331364189e-02       2.277728239961e+21 
       1.295380239488e-02       2.127707067887e+21 
       1.308432739688e-02       1.972744581983e+21 
       1.321488860937e-02       1.815750473701e+21 
       1.334548602025e-02       1.659165102648e+21 
       1.347611964321e-02       1.505457736576e+21 
       1.360678951706e-02       1.356344955089e+21 
       1.373749570527e-02       1.213414032855e+21 
       1.386823829542e-02       1.077854172974e+21 
       1.399901739873e-02       9.506857428815e+20 
       1.412983314967e-02       8.324501673172e+20 
       1.426068570557e-02       7.233888075309e+20 
       1.439157524627e-02       6.237699727933e+20 
       1.452250197381e-02       5.333526269197e+20 
       1.465346611215e-02       4.519329783961e+20 
       1.478446790695e-02       3.791277277562e+20 
       1.491550762530e-02       3.144836185736e+20 
       1.504658555561e-02       2.575181987359e+20 
       1.517770200738e-02       2.077062330722e+20 
       1.530885731111e-02       1.645512798865e+20 
       1.544005181817e-02       1.275901665204e+20 
       1.557128590074e-02       9.630317655992e+19 
       1.570255995172e-02       7.027951461840e+19 
       1.583387438473e-02       4.906096002753e+19 
       1.596522963406e-02       3.223361629339e+19 
       1.609662615471e-02       1.939832876276e+19 
       1.622806442238e-02       1.014667515580e+19 
       1.635954493357e-02       4.089470575936e+18 
       1.649106820557e-02       8.389240931438e+17 
       1.662263477664e-02       1.753020582803e+16 
       1.675424520605e-02       1.258007573996e+18 
       1.688590007420e-02       4.208358706084e+18 
       1.701759998282e-02       8.534859174732e+18 
       1.714934555508e-02       1.392414862313e+19 
       1.728113743576e-02       2.008809586436e+19 
       1.741297629150e-02       2.676624211095e+19 
       1.754486281096e-02       3.372447467670e+19 
       1.767679770505e-02       4.075883579165e+19 
       1.780878170721e-02       4.768940896434e+19 
       1.794081557365e-02       5.436593214133e+19 
       1.807290008363e-02       6.067502640262e+19 
       1.820503603976e-02       6.650677467733e+19 
       1.833722426830e-02       7.181020035812e+19 
       1.846946561951e-02       7.652031054785e+19 
       1.860176096798e-02       8.061890868338e+19 
       1.873411121299e-02       8.409454394642e+19 
       1.886651727890e-02       8.696030229676e+19 
       1.899898011556e-02       8.922394667819e+19 
       1.913150069869e-02       9.093389791785e+19 
       1.926408003032e-02       9.211650094431e+19 
       1.939671913926e-02       9.281124549551e+19 
       1.952941908156e-02       9.307234160486e+19 
       1.966218094098e-02       9.292570227647e+19 
       1.979500582948e-02       9.242706955988e+19 
       1.992789488780e-02       9.161299137587e+19 
       2.006084928593e-02       9.051705154974e+19 
       2.019387022373e-02       8.917489329373e+19 
       2.032695893146e-02       8.761292518129e+19 
       2.046011667041e-02       8.585995895515e+19 
       2.059334473351e-02       8.394025041965e+19 
       2.072664444597e-02       8.186156649706e+19 
       2.086001716594e-02       7.965618856702e+19 
       2.099346428521e-02       7.732821817640e+19 
       2.112698722988e-02       7.489990138961e+19 
       2.126058746114e-02       7.238183220356e+19 
       2.139426647597e-02       6.978881027511e+19 
       2.152802580795e-02       6.712844704438e+19 
       2.166186702806e-02       6.441951040882e+19 
       2.179579174549e-02       6.167278526043e+19 
       2.192980160851e-02       5.890314077427e+19 
       2.206389830533e-02       5.611853324618e+19 
       2.219808356502e-02       5.333512321305e+19 
       2.233235915846e-02       5.056656035303e+19 
       2.246672689928e-02       4.782172355567e+19 
       2.260118864485e-02       4.511571658758e+19 
       2.273574629735e-02       4.245265001539e+19 
       2.287040180477e-02       3.984881395242e+19 
       2.300515716204e-02       3.730816714734e+19 
       2.314001441216e-02       3.483939144461e+19 
       2.327497564732e-02       3.245039872543e+19 
       2.341004301013e-02       3.014542508844e+19 
       2.354521869487e-02       2.792982178815e+19 
       2.368050494869e-02       2.580775909546e+19 
       2.381590407301e-02       2.378174719169e+19 
       2.395141842484e-02       2.185433943478e+19 
       2.408705041814e-02       2.002940345687e+19 
       2.422280252532e-02       1.830376206423e+19 
       2.435867727871e-02       1.668156375992e+19 
       2.449467727207e-02       1.516029587366e+19 
       2.463080516220e-02       1.373977348457e+19 
       2.476706367057e-02       1.241804685579e+19 
       2.490345558501e-02       1.119255840342e+19 
       2.503998376145e-02       1.006057495252e+19 
       2.517665112573e-02       9.018978029856e+18 
       2.531346067543e-02       8.063043057555e+18 
       2.545041548183e-02       7.189201658810e+18 
       2.558751869188e-02       6.393122249169e+18 
       2.572477353023e-02       5.670066166796e+18 
       2.586218330139e-02       5.015429331748e+18 
       2.599975139189e-02       4.424398367805e+18 
       2.613748127253e-02       3.892357831540e+18 
       2.627537650079e-02       3.414805536092e+18 
       2.641344072316e-02       2.987116733392e+18 
       2.655167767774e-02       2.605263575287e+18 
       2.669009119674e-02       2.264946531901e+18 
       2.682868520924e-02       1.962536779587e+18 
       2.696746374393e-02       1.694310120104e+18 
       2.710643093199e-02       1.456999287942e+18 
       2.724559101007e-02       1.247602116634e+18 
       2.738494832337e-02       1.063218433754e+18 
       2.752450732885e-02       9.013332621618e+17 
       2.766427259852e-02       7.596181791321e+17 
       2.780424882288e-02       6.358950178963e+17 
       2.794444081451e-02       5.283171194537e+17 
       2.808485351168e-02       4.351360298825e+17 
       2.822549198229e-02       3.547371220584e+17 
       2.836636142773e-02       2.858432703311e+17 
       2.850746718710e-02       2.271417983639e+17 
       2.864881474140e-02       1.775172259755e+17 
       2.879040971806e-02       1.359539635258e+17 
       2.893225789547e-02       1.015343223861e+17 
       2.907436520786e-02       7.345311891572e+16 
       2.921673775023e-02       5.096533207054e+16 
       2.935938178353e-02       3.339101651965e+16 
       2.950230374010e-02       2.013341604483e+16 
       2.964551022920e-02       1.064369196947e+16 
       2.978900804291e-02       4.416823448480e+15 
       2.993280416219e-02       1.006277779194e+15 
       3.007690576315e-02       1.276080039686e+12 
       3.022132022372e-02       1.033866855558e+15 
       3.036605513041e-02       3.769774385229e+15 
       3.051111828558e-02       7.911034535051e+15 
       3.065651771478e-02       1.318215529181e+16 
       3.080226167461e-02       1.934435248153e+16 
       3.094835866079e-02       2.617649898066e+16 
       3.109481741666e-02       3.347956940384e+16 
       3.124164694198e-02       4.108572990113e+16 
       3.138885650223e-02       4.883243842644e+16 
       3.153645563820e-02       5.657580791741e+16 
       3.168445417612e-02       6.419842560036e+16 
       3.183286223817e-02       7.158168820003e+16 
       3.198169025359e-02       7.864363676206e+16 
       3.213094897016e-02       8.528779716603e+16 
       3.228064946634e-02       9.145492821113e+16 
       3.243080316391e-02       9.707328533614e+16 
       3.258142184128e-02       1.021107007641e+17 
       3.273251764740e-02       1.065238883820e+17 
       3.288410311637e-02       1.102927537712e+17 
       3.303619118272e-02       1.134035830073e+17 
       3.318879519757e-02       1.158511001482e+17 
       3.334192894546e-02       1.176358581178e+17 
       3.349560666214e-02       1.187724199907e+17 
       3.364984305323e-02       1.192818826459e+17 
       3.380465331385e-02       1.191955424479e+17 
       3.396005314932e-02       1.185345810651e+17 
       3.411605879687e-02       1.173481008992e+17 
       3.427268704859e-02       1.156703763552e+17 
       3.442995527561e-02       1.135513737082e+17 
       3.458788145358e-02       1.110342800841e+17 
       3.474648418957e-02       1.081632871628e+17 
       3.490578275046e-02       1.049944121981e+17 
       3.506579709297e-02       1.015662735996e+17 
       3.522654789537e-02       9.793361229636e+16 
       3.538805659104e-02       9.413640099918e+16 
       3.555034540399e-02       9.021798051427e+16 
       3.571343738648e-02       8.621976384964e+16 
       3.587735645889e-02       8.217582539823e+16 
       3.604212745204e-02       7.812137152888e+16 
       3.620777615198e-02       7.408723547765e+16 
       3.637432934776e-02       7.010014582220e+16 
       3.654181488198e-02       6.617884617950e+16 
       3.671026170475e-02       6.234749160412e+16 
       3.687969993096e-02       5.862158051984e+16 
       3.705016090135e-02       5.501288645058e+16 
       3.722167724767e-02       5.153207994649e+16 
       3.739428296207e-02       4.818861719330e+16 
       3.756801347128e-02       4.498659091574e+16 
       3.774290571584e-02       4.192813918644e+16 
       3.791899823486e-02       3.901633546656e+16 
       3.809633125674e-02       3.625113672241e+16 
       3.827494679635e-02       3.363138963497e+16 
       3.845488875932e-02       3.115402908291e+16 
       3.863620305387e-02       2.881670695844e+16 
       3.881893771114e-02       2.661553091801e+16 
       3.900314301440e-02       2.454695100587e+16 
       3.918887163838e-02       2.260567656151e+16 
       3.937617879932e-02       2.078845024847e+16 
       3.956512241687e-02       1.908954533588e+16 
       3.975576328904e-02       1.750503324562e+16 
       3.994816528138e-02       1.602921320965e+16 
       4.014239553173e-02       1.465778064248e+16 
       4.033852467232e-02       1.338491808022e+16 
       4.053662707070e-02       1.220653300749e+16 
       4.073678109166e-02       1.111671611249e+16 
       4.093906938227e-02       1.011095467202e+16 
       4.114357918243e-02       9.184174167607e+15 
       4.135040266386e-02       8.331290848659e+15 
       4.155963730048e-02       7.547218189551e+15 
       4.177138627387e-02       6.827413903514e+15 
       4.198575891770e-02       6.167444992343e+15 
       4.220287120571e-02       5.562596063215e+15 
       4.242284628843e-02       5.008653652177e+15 
       4.264581508441e-02       4.501756438149e+15 
